URL: https://www.fedramp.gov/resources/documents/Continuous_Monitoring_Playbook.pdf
TITLE: FedRAMP® Continuous Monitoring Playbook
ERROR: None

| Cadence / Timeline | Quoted or closely paraphrased requirement | Likely control family / control ID | Source section |
| **Monthly** | “Performing monthly vulnerability scanning” / “summary of monthly vulnerability scan results” | RA-5 | Collaborative ConMon / Section 3: Meeting Agenda |
| **Monthly** | “monthly POA&Ms” / “reviewing the monthly POA&Ms” | CA-5 | Continuous Monitoring Roles & Responsibilities / Agency Authorization Official (AO); Performance Management for Ongoing Authorization |
| **Monthly** | “monthly collaborative ConMon meeting” / “briefing during the monthly collaborative ConMon meeting” | CA-7 | Annual Assessments / Brief Agency Customers on Assessment Plan; Collaborative ConMon |
| **Monthly** | “monthly scanning submission” | RA-5 | ConMon Performance Management / Agency Performance Management Deficiency Triggers |
| **Weekly** | “hold the recurring meeting a week later” after monthly deliverables are uploaded | CA-7 | Collaborative ConMon / Section 4: ConMon Deliverables |
| **Annually** | “CSPs must review the SSP and appendices, and update (as necessary) at least annually…” | CA-2, CM-2, CM-3, CM-6, CM-8 | Annual Assessments / Review and Update Documentation |
| **Annually** | “CSPs are required to test the Incident Response Plan (IRP) and Contingency Plan (CP) at least annually.” | IR, CP | Annual Assessments / Incident Response and Contingency Testing |
| **Annually** | “Security control CA-2 requires the CSP to undergo an independent assessment of the cloud service offering at least annually.” | CA-2 | Annual Assessments |
| **Annually** | “Controls that have not been assessed, at least once in a three year period, to ensure controls are meeting periodicity requirements” | CA-2, relevant families for those controls | Annual Assessments / Define the Assessment Scope |
| **Annually** | “The assessor will review the CSP’s Vulnerability Sampling Plan, implementation and test results and attest to the sampling’s effectiveness.” — “The Plan shall be reviewed at least annually, and maintained current.” | RA-5 | Vulnerability Scanning / Sampling for Vulnerability Scanning / Develop Vulnerability Sampling Plan |
| **Annually** | “The CSP will perform a test of the solution to demonstrate effectiveness annually, at time of FedRAMP Annual Assessment of the system, and provide the results to the assessor.” | CM-8, RA-5 | Vulnerability Scanning / Sampling for Vulnerability Scanning / Activate Capabilities to Ensure Unique Inventory Items are Identical |
| **Annually** | “Select a sample sufficient to represent the unique inventory item. The sample must be attested to by an assessor at the time of the FedRAMP Annual Assessment.” | RA-5 | Vulnerability Scanning / Sampling for Vulnerability Scanning / Establish Unique Inventory and Samples |
| **Annually** | “Assessors will perform an assessment over the changed inventory at the time of the next FedRAMP Annual Assessment.” | CA-2, RA-5 | Vulnerability Scanning / Sampling for Vulnerability Scanning / Establish Unique Inventory and Samples |
| **Annually** | “Develop the Assessment Schedule … Major milestone activities …” (schedule includes timeframes; no fixed cadence stated beyond annual assessment) | CA-2 | Annual Assessments / Develop the Assessment Schedule |
| **Annually** | “The scope of a FedRAMP Rev 5 annual assessment includes …” | CA-2 | Annual Assessments / Define the Assessment Scope |
| **Annually** | “If multiple agencies are leveraging the CSO, schedule the briefing during the monthly collaborative ConMon meeting.” (annual assessment briefing event tied to annual cycle) | CA-2, CA-7 | Annual Assessments / Brief Agency Customers on Assessment Plan |
| **Annually** | “build in time for developing the draft SAR, CSP remediation activities, assessor remediation testing, and final SAR development” within annual assessment cycle | CA-2 | Annual Assessments / Conduct the Security Assessment and Develop SAR |
| **Annually** | “All other documentation must be updated no later than the next Annual Assessment.” | CA-2, CM, CA-5 | Significant Changes / Significant Change Process Steps / Step 8 |
| **Every 3 years / three year period** | “Deliverables and supporting evidence are provided monthly, annually, every three years, and on an as-needed basis.” | CA-2 / periodic control families as applicable | Continuous Monitoring Overview / Operational Visibility |
| **Every 3 years** | “Controls that have not been assessed, at least once in a three year period…” | CA-2 | Annual Assessments / Define the Assessment Scope |
| **Every 30 days / 30-day window** | “The 30-day scanning window begins as soon as the container is deployed to the production registry.” | RA-5 | Vulnerability Scanning / Container Unique Requirements / Vulnerability Scanning for Container Images |
| **Every 30 days / 30-day window** | “Only containers from images that have been scanned within a 30-day vulnerability scanning window can be actively deployed on the production environment.” | RA-5 | Vulnerability Scanning / Container Unique Requirements / Vulnerability Scanning for Container Images |
| **Every 30 days / 30-day window** | “containers corresponding to an image that has not been scanned within the 30-day vulnerability scanning window are not actively deployed on production.” | RA-5 | Vulnerability Scanning / Container Unique Requirements / Registry Monitoring |
| **Within 1 hour** | “CSPs must report suspected and confirmed information security incidents to the following parties within one (1) hour of being identified by the CSP’s top-level CSIRT, SOC, or IT department…” | IR | Incident Communications / CSP General Reporting Process |
| **Daily** | “After initial incident notification, the CSP must provide updates to CISA as well as daily updates to all POCs.” | IR | Incident Communications / CSP General Reporting Process |
| **Daily** | “The final daily update must be provided to all POCs after the CSP has completed the Recovery phase…” | IR | Incident Communications / CSP General Reporting Process |
| **Within prescribed timelines / timeline described in request** | “If any emergency inquiry is issued, the CSP must comply within the timeline described in the request.” | IR | Incident Communications / CSP General Reporting Process |
| **Less than 60 days before annual ATO anniversary date** | “Delivery of annual assessment SAP less than 60 days before annual ATO anniversary date.” | CA-2 | ConMon Performance Management / Agency Performance Management Deficiency Triggers |
| **After annual ATO anniversary date** | “Delivery of full annual assessment package after annual ATO anniversary date.” | CA-2 | ConMon Performance Management / Agency Performance Management Deficiency Triggers |
| **Greater than 30 days aged** | “Five or more unique vulnerabilities or POA&M items aged greater than 30 days.” | CA-5, RA-5 | ConMon Performance Management / Agency Performance Management Deficiency Triggers / Late Remediation High Impact Vulnerabilities |
| **Greater than 60 days aged** | “Five or more unique vulnerabilities or POA&M items aged greater than 60 days.” | CA-5, RA-5 | ConMon Performance Management / Agency Performance Management Deficiency Triggers / Late Remediation High Impact Vulnerabilities |
| **Greater than 90 days aged** | “Ten or more unique vulnerabilities or POA&M items aged greater than 90 days.” | CA-5, RA-5 | ConMon Performance Management / Agency Performance Management Deficiency Triggers / Late Remediation Moderate Impact Vulnerabilities |
| **Greater than 120 days aged** | “Ten or more unique vulnerabilities or POA&M items aged greater than 120 days.” | CA-5, RA-5 | ConMon Performance Management / Agency Performance Management Deficiency Triggers / Late Remediation Moderate Impact Vulnerabilities |
| **Less than 30 days before planned change** | “Notification received less than 30 days before the planned change or insufficient documentation of a security impact analysis.” | CM-3, CM-4 | ConMon Performance Management / Agency Performance Management Deficiency Triggers / Insufficient Notice of Planned Change |
| **More than 5 days after the change** | “Notification received more than five days after the change.” | CM-3, CM-4 | ConMon Performance Management / Agency Performance Management Deficiency Triggers / Late Notice of Emergency Change |
| **Within 6 months** | “Any trigger that is realized multiple times within a six-month timeframe.” | Any relevant control family | ConMon Performance Management / Agency Performance Management Deficiency Triggers / Multiple Recurrences |
| **Within 6 months** | “Four or more incidents within six months” | IR | ConMon Performance Management / Agency Performance Management Deficiency Triggers / Incident Frequency |
| **Within 6 months** | “First incident in the previous six months.” | RA-5 | ConMon Performance Management / Agency Performance Management Deficiency Triggers / Non-compliance with scanning requirements |
| **Within 6 months** | “Each subsequent incident beyond the first within the previous six months.” | RA-5 | ConMon Performance Management / Agency Performance Management Deficiency Triggers / Non-compliance with scanning requirements |
| **Within 6 months** | “Any incident with recurring type and/or cause” | IR | ConMon Performance Management / Agency Performance Management Deficiency Triggers / Incident Frequency of Recurring Type |
| **At least one week prior** | “Upload deliverables to the secure repository at least one week prior to the meeting…” | CA-7 | Collaborative ConMon / Step 4: Hold Monthly Recurring Collaborative ConMon Meetings |
| **At least one week prior** | “The CSP makes information … available via the FedRAMP secure repository at least one week prior to the monthly Collaborative ConMon meeting” | CA-7 | Collaborative ConMon / Section 5: Decision-Making Authorities / Comment Period |
| **One week later** | “uploading the monthly ConMon deliverables … on the same day each month and then hold the recurring meeting a week later.” | CA-7 | Collaborative ConMon / Section 4: ConMon Deliverables |
| **Two weeks** | “The PMO recommends giving group members two weeks.” | CA-7 | Collaborative ConMon / Section 5: Decision-Making Authorities / Comment Period |
| **At least once in a three year period** | “Controls that have not been assessed, at least once in a three year period…” | CA-2 | Annual Assessments / Define the Assessment Scope |
| **At least monthly or when there is a change** | “CM-8 requires CSPs to provide an updated inventory at least monthly or when there is a change.” | CM-8 | Monthly ConMon Reporting |
| **At least annually; maintained current** | “The Plan shall be reviewed at least annually, and maintained current.” | RA-5 | Vulnerability Scanning / Sampling for Vulnerability Scanning / Develop Vulnerability Sampling Plan |
| **At least annually** | “The CSP will perform a test of the solution … annually, at time of FedRAMP Annual Assessment…” | CM-8, RA-5 | Vulnerability Scanning / Sampling for Vulnerability Scanning / Activate Capabilities to Ensure Unique Inventory Items are Identical |
| **At least annually** | “The CSP must review the SSP and appendices, and update (as necessary) at least annually…” | CA-2, CM family | Annual Assessments / Review and Update Documentation |
| **At least annually** | “CSPs are required to test the Incident Response Plan (IRP) and Contingency Plan (CP) at least annually.” | IR, CP | Annual Assessments / Incident Response and Contingency Testing |
| **At least annually** | “Security control CA-2 requires the CSP to undergo an independent assessment of the cloud service offering at least annually.” | CA-2 | Annual Assessments |
| **As needed / on an as-needed basis** | “Deliverables and supporting evidence are provided … on an as-needed basis.” | Any relevant family depending on deliverable | Continuous Monitoring Overview / Operational Visibility |
| **As needed** | “CISA coordinates with the FedRAMP PMO when issuing Binding Operational Directives (BODs) and Emergency Directives (EDs).” | IR | Continuous Monitoring Roles & Responsibilities / CISA |
| **As needed** | “Independent assessors perform … out-of-cycle assessments associated with significant changes.” | CA-2, CM, RA-5 | Continuous Monitoring Roles & Responsibilities / Independent Assessment Organizations |
| **As needed** | “The PMO can attend monthly Collaborative ConMon meetings on an as-needed basis” | CA-7 | Collaborative ConMon / Step 4: Hold Monthly Recurring Collaborative ConMon Meetings |
| **As needed** | “responding to emergency directives” / “respond to emergency inquiries” | IR | Incident Communications / Introduction; CSP General Reporting Process |
| **No fixed cadence stated; risk-based/org-defined** | “Agency AOs use this information to make risk-based decisions about ongoing authorization” | N/A | Continuous Monitoring Roles & Responsibilities / Agency Authorization Official (AO) |
| **No fixed cadence stated; risk-based/org-defined** | “CSPs and agencies are free to include additional sections or subsections” in collaborative ConMon charter | CA-7 | Collaborative ConMon / Step 1: Develop Collaborative ConMon Draft Charter |
| **No fixed cadence stated; risk-based/org-defined** | “Most FedRAMP recognized 3PAOs have developed an assessment schedule template” and “The schedule should include timeframes and resources” | CA-2 | Annual Assessments / Develop the Assessment Schedule |
| **No fixed cadence stated; risk-based/org-defined** | “significant changes may be scheduled with the annual assessment” with AO buy-in | CM-3, CM-4, CA-2 | Significant Changes / Scheduling Significant Changes with Annual Assessments |
| **No fixed cadence stated; risk-based/org-defined** | “the CSP may choose to use an independent assessment organization that is not recognized by FedRAMP” with AO approval | CA-2 | Independent Assessment Organizations |
| **No fixed cadence stated; risk-based/org-defined** | “Agencies should implement an escalation process… which may result in one of the following escalation levels” and “Agency AOs (or collaborative ConMon groups) should determine which escalation levels are appropriate.” | Any relevant family | ConMon Performance Management / Performance Management for Ongoing Authorization |
| **No fixed cadence stated; risk-based/org-defined** | “Routine recurring changes are … performed regularly and routinely” and “generally occur as part of ongoing operations or vulnerability management.” | CM-3, CM-4, CM-6, RA-5, SI-2, SI-3 | Significant Changes / Routine Recurring Changes |
| **No fixed cadence stated; risk-based/org-defined** | “Transformative Changes … are rare … Small cloud service offerings may go years without transformative changes…” | CM-3, CM-4, CA-2 | Significant Changes / Transformative Changes |
| **No fixed cadence stated; risk-based/org-defined** | “Adaptive Changes … are a frequent and normal part of iteratively improving a service” and “most changes that do not happen regularly will be adaptive changes.” | CM-3, CM-4, CA-2 | Significant Changes / Adaptive Changes |
| **No fixed cadence stated; risk-based/org-defined** | “The PMO recommends …” monthly meeting, Tuesday/Wednesday/Thursday, early afternoon (EST) | CA-7 | Collaborative ConMon / Section 2: Meeting Schedule |
| **No fixed cadence stated; risk-based/org-defined** | “The PMO recommends …” monthly deliverables same day each month | CA-7 | Collaborative ConMon / Section 4: ConMon Deliverables |
| **No fixed cadence stated; risk-based/org-defined** | “The AO may elect to simply monitor the CSP more closely and take no further action.” | N/A | ConMon Performance Management / escalation process |
| **No fixed cadence stated; risk-based/org-defined** | “FedRAMP periodically publishes updates to the SAP, SAR … and POA&M templates” | CA-2 | Annual Assessments / Review and Update Documentation |
| **No fixed cadence stated; risk-based/org-defined** | “maintain a secure repository of ConMon deliverables” | CA-7, CM-8 | Continuous Monitoring Roles & Responsibilities / CSP |
| **No fixed cadence stated; risk-based/org-defined** | “provide timely and accurate information” / “promptly address” findings | various | Continuous Monitoring Roles & Responsibilities / CSP |

- **Retention period:** no explicit document retention period is stated in the provided page text.
- **General risk-based / org-defined frequency only:** several items state “monthly,” “annually,” “as-needed,” or require AO/agency approval without a further fixed cadence.
