URL: https://www.cms.gov/files/document/acceptable-risk-safeguards-v51.xlsx
TITLE: [XLS] ARS 5.1 - CMS
ERROR: None

| Control / Section | Documented cadence / frequency / timeline | Exact requirement (quote or close paraphrase) | Likely family / control ID |
| Access Control / AC-17(03) | Quarterly | “Route remote accesses through authorized and managed network access control points.” | AC-17(03) |
| Access Control / AC-17(04) | Quarterly | “Authorize the execution of privileged commands and access to security-relevant information via remote access only …” | AC-17(04) |
| Access Control / AC-18 | At least every 365 days; annual assessment | “Establish configuration requirements … for each type of wireless access; and authorize each type …” | AC-18 |
| Access Control / AC-18(01) | At least every 365 days; annual assessment | “Protect wireless access … using authentication of both users and devices and encryption.” | AC-18(01) |
| Access Control / AC-18(03) | At least every 365 days; three (3) years | “Disable, when not intended for use, wireless networking capabilities … prior to issuance and deployment.” | AC-18(03) |
| Access Control / AC-18(04) | At least every 365 days; annual assessment | “Identify and explicitly authorize users allowed to independently configure wireless networking capabilities.” | AC-18(04) |
| Access Control / AC-18(05) | At least every 365 days; annual assessment | “Select radio antennas and calibrate transmission power levels …” | AC-18(05) |
| Access Control / AC-19 | At least every 365 days; annual assessment | “Establish configuration requirements … for organization-controlled mobile devices … and authorize the connection …” | AC-19 |
| Access Control / AC-19(05) | At least every 365 days; three (3) years | “Employ CMS-required … full-device encryption or container encryption …” | AC-19(05) |
| Access Control / AC-20 | At least every 365 days; three (3) years | “Establish defined terms and conditions … or prohibit the use of … external systems.” | AC-20 |
| Access Control / AC-20(01) | At least every 365 days; three (3) years | “Permit authorized individuals to use an external system … only after …” | AC-20(01) |
| Access Control / AC-20(02) | At least every 365 days; three (3) years | “Restrict the use of organization-controlled portable storage devices by authorized individuals on external systems …” | AC-20(02) |
| Access Control / AC-21 | At least every 365 days; three (3) years | “Enable authorized users to determine whether access authorizations … match … restrictions …” | AC-21 |
| Access Control / AC-22 | Bi-weekly / no less often than 14 days | “Review the content on the publicly accessible system for nonpublic information bi-weekly (no less often than 14 days) and remove such information, if discovered.” | AC-22 |
| Awareness and Training / AT-01 | At least every 365 days; following CMS-defined events | “Review and update the current awareness and training … policy at least every 365 days … procedures at least every 365 days …” | AT-01 |
| Awareness and Training / AT-02 | Within every 365 days; update at least once every 365 days; system changes/events | “Provide security and privacy literacy training … within every 365 days thereafter … Update literacy training and awareness content at least once every 365 days …” | AT-02 |
| Awareness and Training / AT-02(01) | Annually / three (3) years shown | “Provide practical exercises in literacy training that simulate events and incidents.” | AT-02(01) |
| Awareness and Training / AT-02(02) | Annually / three (3) years shown | “Provide literacy training on recognizing and reporting potential indicators of insider threat.” | AT-02(02) |
| Awareness and Training / AT-02(03) | Annually / three (3) years shown | “Provide literacy training on recognizing and reporting potential and actual instances of social engineering and social mining.” | AT-02(03) |
| Awareness and Training / AT-03 | Within 60 days of entering roles; update every 365 days; system changes | “Provide role-based security and privacy training … within sixty (60) days of entering security and privacy roles … Update role-based training content every 365 days …” | AT-03 |
| Awareness and Training / AT-03(05) | Initial and annual | “Provide All CMS Federal and Contractor Employees with initial and Annual training …” | AT-03(05) |
| Awareness and Training / AT-04 | Retain records for 5 years | “Retain individual training records for Five (5) Years …” | AT-04 |
| Audit and Accountability / AU-01 | At least every 365 days; following CMS-defined events | “Review and update the current audit and accountability … policy at least every 365 days … procedures at least every 365 days …” | AU-01 |
| Audit and Accountability / AU-02 | Weekly | “Review and update the event types selected for logging no less often than every 365 days and whenever there is a significant system modification.” (base control shows weekly review frequency) | AU-02 |
| Audit and Accountability / AU-03 | Monthly | “Ensure that audit records contain information that establishes …” | AU-03 |
| Audit and Accountability / AU-03(01) | Monthly | “Generate audit records containing the following additional information: identified in the privacy risk assessment.” | AU-03(01) |
| Audit and Accountability / AU-03(03) | At least every 365 days | “Limit personally identifiable information contained in audit records …” | AU-03(03) |
| Audit and Accountability / AU-04 | At least every 365 days; three (3) years | “Allocate audit log storage capacity …” | AU-04 |
| Audit and Accountability / AU-05 | Quarterly | “Alert … within one (1) hour of discovery/notification in the event of an audit logging process failure …” | AU-05 |
| Audit and Accountability / AU-05(01) | At 80% of repository maximum capacity; within organization-defined time | “Provide a warning … when allocated audit log storage volume reaches 80% of repository maximum audit log storage capacity.” | AU-05(01) |
| Audit and Accountability / AU-05(02) | Monthly | “Provide an alert within defined in the applicable system security and privacy plan … when the following audit failure events occur …” | AU-05(02) |
| Audit and Accountability / AU-06 | Weekly / 7 days | “Review and analyze system audit records no less often than weekly seven (7) days …” | AU-06 |
| Audit and Accountability / AU-06(01) | Monthly | “Integrate audit record review, analysis, and reporting processes …” | AU-06(01) |
| Audit and Accountability / AU-06(03) | Quarterly | “Analyze and correlate audit records across different repositories …” | AU-06(03) |
| Audit and Accountability / AU-06(05) | Quarterly | “Integrate analysis of audit records with analysis of … vulnerability scanning information; performance data; system monitoring information …” | AU-06(05) |
| Audit and Accountability / AU-06(06) | Quarterly | “Correlate information from audit records with information obtained from monitoring physical access …” | AU-06(06) |
| Audit and Accountability / AU-07 | At least every 365 days | “Provide and implement an audit record reduction and report generation capability …” | AU-07 |
| Audit and Accountability / AU-07(01) | Quarterly | “Provide and implement the capability to process, sort, and search audit records for events of interest …” | AU-07(01) |
| Audit and Accountability / AU-08 | At least every 365 days | “Use internal system clocks … record time stamps … accurate to within one hundred (100) milliseconds …” | AU-08 |
| Audit and Accountability / AU-09 | At least every 365 days | “Protect audit information and audit logging tools … alert … upon detection of unauthorized access, modification, or deletion …” | AU-09 |
| Audit and Accountability / AU-09(02) | Weekly / 7 days | “Store audit records no less often than weekly seven (7) days in a repository that is part of a physically different system …” | AU-09(02) |
| Audit and Accountability / AU-09(03) | At least every 365 days; three (3) years | “Implement cryptographic mechanisms to protect the integrity of audit information and audit tools.” | AU-09(03) |
| Audit and Accountability / AU-09(04) | Quarterly | “Authorize access to management of audit logging functionality …” | AU-09(04) |
| Audit and Accountability / AU-09(05) | At least every 365 days; three (3) years | “Enforce dual authorization for manual movement and deletion of HVA systems audit logs and information.” | AU-09(05) |
| Audit and Accountability / AU-09(06) | At least every 365 days; three (3) years | “Authorize read-only access to audit information …” | AU-09(06) |
| Audit and Accountability / AU-10 | Quarterly | “Provide irrefutable evidence that an individual … has performed …” | AU-10 |
| Audit and Accountability / AU-11 | Retain 90 days; archive 365 days | “Retain audit records for ninety (90) days and archive old records for three hundred sixty-five (365) days …” | AU-11 |
| Audit and Accountability / AU-12 | Quarterly | “Provide audit record generation capability …” | AU-12 |
| Audit and Accountability / AU-12(01) | Quarterly | “Compile audit records … into a system-wide … audit trail that is time-correlated to within +/- five (5) minutes.” | AU-12(01) |
| Audit and Accountability / AU-12(03) | Within minutes | “Provide and implement the capability … to change the logging … within minutes.” | AU-12(03) |
| Audit and Accountability / AU-16 | At least every 365 days; three (3) years | “Employ methods … for coordinating audit information among external organizations …” | AU-16 |
| Assessment, Authorization, and Monitoring / CA-01 | At least every 365 days; following CMS-defined events | “Review and update the current assessment, authorization, and monitoring … policy at least every 365 days … procedures at least every 365 days …” | CA-01 |
| Assessment, Authorization, and Monitoring / CA-02 | Every 3 years; results within 30 days | “Assess the controls in the system and its environment of operation Every three (3) years … Provide the results … within thirty (30) days after its completion, in writing.” | CA-02 |
| Assessment, Authorization, and Monitoring / CA-02(02) | Every 365 days | “Include as part of control assessments, every 365 days, announced or unannounced, in-depth monitoring; …” | CA-02(02) |
| Assessment, Authorization, and Monitoring / CA-03 | Annually / every year (365 days) | “Review and update the agreements no less often than once every year (365 days) …” | CA-03 |
| Assessment, Authorization, and Monitoring / CA-05 | Every 3 months / quarterly | “Update existing plan of action and milestones Every three (3) months …” | CA-05 |
| Assessment, Authorization, and Monitoring / CA-06 | Every 3 years | “Update the authorizations Every three (3) years.” | CA-06 |
| Assessment, Authorization, and Monitoring / CA-06(01) | Annually / three (3) years shown | “Employ a joint authorization process …” | CA-06(01) |
| Assessment, Authorization, and Monitoring / CA-07 | No less than once every 72 hours; every 30 days | “Establishing defined frequencies … but no less than once every 72 hours for monitoring and … assessment of control effectiveness … Reporting … every thirty (30) days monthly.” | CA-07 |
| Assessment, Authorization, and Monitoring / CA-08 | Within every 365 days; whenever significant change | “Conduct penetration testing within every 365 days … or whenever there is a significant change …” | CA-08 |
| Assessment, Authorization, and Monitoring / CA-09 | Review 365 days | “Review 365 days the continued need for each internal connection.” | CA-09 |
| Configuration Management / CM-01 | At least every 365 days; following CMS-defined events | “Review and update the current configuration management … policy at least every 365 days … procedures at least every 365 days …” | CM-01 |
| Configuration Management / CM-02 | At least every 180 days for High; every 365 days for Moderate; on major changes; when installed/upgraded | “Review and update the baseline configuration … at least every 180 days for High systems or 365 days for Moderate systems; … when required due to major system changes/upgrades, critical security patches … and emergency changes …; and … when system components are installed or upgraded.” | CM-02 |
| Configuration Management / CM-02(03) | Retain no less than 1 previous version | “Retain no less than one (1) of previous versions of baseline configurations …” | CM-02(03) |
| Configuration Management / CM-03 | Retain records no less than 12 months; CCB convenes frequently enough | “Retain records of configuration-controlled changes … for no less than twelve (12) months after the change …” | CM-03 |
| Configuration Management / CM-03(07) | At least once every 7 days | “Review changes to the system at least once every seven (7) days …” | CM-03(07) |
| Configuration Management / CM-04 | Prior to implementation | “Analyze changes … prior to change implementation.” | CM-04 |
| Configuration Management / CM-04(02) | After system changes | “After system changes, verify that the impacted controls are implemented correctly …” | CM-04(02) |
| Configuration Management / CM-05 | At least every 365 days | “Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system.” | CM-05 |
| Configuration Management / CM-05(01) | At least every 365 days | “(a) Enforce access restrictions using automated mechanisms; and (b) Automatically generate audit records …” | CM-05(01) |
| Configuration Management / CM-06 | At least every 365 days | “Establish and document configuration settings … Implement … Identify … Monitor and control changes …” | CM-06 |
| Configuration Management / CM-06(01) | At least every 365 days | “Manage, apply, and verify configuration settings … using SIEM tools or enterprise security monitoring tools.” | CM-06(01) |
| Configuration Management / CM-06(02) | At least every 365 days | “Take the following actions in response to unauthorized changes …” | CM-06(02) |
| Configuration Management / CM-07 | At least every 365 days | “Configure the system to provide only …; and prohibit or restrict …” | CM-07 |
| Configuration Management / CM-07(01) | At least every 30 days; upon significant risk | “Review the system upon encountering a significant risk, or at least every thirty (30) days …” | CM-07(01) |
| Configuration Management / CM-07(05) | No less often than every 72 hours | “Review and update the list of authorized software programs no less often than every seventy-two (72) hours.” | CM-07(05) |
| Configuration Management / CM-08 | Review and update every 180 days | “Review and update the system component inventory every 180 days.” | CM-08 |
| Configuration Management / CM-08(01) | As part of installations/removals/updates | “Update the inventory of system components as part of component installations, removals, and system updates.” | CM-08(01) |
| Configuration Management / CM-08(02) | At least every 365 days | “Maintain the currency, completeness, accuracy, and availability of the inventory … using automated mechanisms.” | CM-08(02) |
| Configuration Management / CM-08(03) | Within 7 days | “Detect the presence of unauthorized hardware, software, and firmware components … using automated mechanisms within Seven (7) days …” | CM-08(03) |
| Configuration Management / CM-09 | At least every 365 days | “Develop, document, and implement a configuration management plan …” | CM-09 |
| Configuration Management / CM-10 | At least every 365 days | “Use software and associated documentation in accordance with contract agreements and copyright laws …” | CM-10 |
| Configuration Management / CM-11 | Monthly; at least monthly / every 30 days | “Monitor policy compliance at least monthly every thirty (30) days.” | CM-11 |
| Configuration Management / CM-12 | At least every 365 days; three (3) years | “Identify and document the location of information …” | CM-12 |
| Contingency Planning / CP-01 | At least every 365 days; following CMS-defined events | “Review and update the current contingency planning … policy at least every 365 days … procedures at least every 365 days …” | CP-01 |
| Contingency Planning / CP-02 | Within every 365 days; within 12 hours; every 3 years? no, plan itself annual review | “Review the contingency plan for the system within every 365 days …” | CP-02 |
| Contingency Planning / CP-02(03) | Within 12 hours of activation | “Plan for the resumption of essential mission and business functions within Twelve (12) hours of contingency plan activation.” | CP-02(03) |
| Contingency Planning / CP-03 | Within 90 days of assuming role; within 365 days thereafter | “Provide contingency training … within ninety (90) days of assuming a contingency role or responsibility; … within every 365 days thereafter …” | CP-03 |
| Contingency Planning / CP-04 | At least every 365 days | “Test the contingency plan for the system at least every 365 days …” | CP-04 |
| Contingency Planning / CP-08(05) | Every 6 months | “Test alternate telecommunication services Every six (6) months.” | CP-08(05) |
| Contingency Planning / CP-09 | User-level backups: every 1 month / daily; system-level backups: every 1 month / daily; docs: monthly or weekly/daily | “Conduct backups … Every one (1) month / Daily … Full Backups - Weekly Incremental Backups - Daily …” | CP-09 |
| Contingency Planning / CP-09(01) | Test backup information every 6 months / 3 months / not defined for Low | “Test backup information … six (6) months / three (3) months …” | CP-09(01) |
| Contingency Planning / CP-09(05) | At defined time periods/rates | “Transfer system backup information to the alternate storage site at defined time periods and transfer rates …” | CP-09(05) |
| Contingency Planning / CP-10(04) | Within target restoration time | “Provide the capability to restore system components within the target restoration time …” | CP-10(04) |
| Identification and Authentication / IA-01 | At least every 365 days; following CMS-defined events | “Review and update the current identification and authentication … policy at least every 365 days … procedures at least every 365 days …” | IA-01 |
| Identification and Authentication / IA-02 | Every 6 months | “Uniquely identify and authenticate organizational users …” baseline review frequency shown as six months | IA-02 |
| Identification and Authentication / IA-02(01) | Every 6 months | “Implement multi-factor authentication for access to privileged accounts.” | IA-02(01) |
| Identification and Authentication / IA-02(02) | Every 6 months | “Implement multi-factor authentication for access to non-privileged accounts.” | IA-02(02) |
| Identification and Authentication / IA-02(05) | When shared accounts/authenticators employed | “Require users to be individually authenticated before granting access to the shared accounts or resources.” | IA-02(05) |
| Identification and Authentication / IA-02(08) | At least every 365 days | “Implement replay-resistant authentication mechanisms …” | IA-02(08) |
| Identification and Authentication / IA-02(12) | At least every 365 days; three (3) years | “Accept and electronically verify PIV-compliant credentials.” | IA-02(12) |
| Identification and Authentication / IA-03 | At least every 365 days | “Uniquely identify and authenticate devices … before establishing a remote connection.” | IA-03 |
| Identification and Authentication / IA-04 | Prevent reuse for 3 years | “Preventing reuse of identifiers for three (3) years.” | IA-04 |
| Identification and Authentication / IA-05 | Every 2 months / on compromise / on membership change | “Changing or refreshing authenticators … or when authenticator compromise occur … Changing authenticators for group or role accounts when membership … changes.” | IA-05 |
| Identification and Authentication / IA-05(01) | Update commonly-used/compromised password list as frequently defined, not to exceed 365 days | “Maintain a list of commonly-used, expected, or compromised passwords and update the list using as frequently defined … not to exceed 365 days …” | IA-05(01) |
| Identification and Authentication / IA-05(02) | Quarterly | “Validate certificates … implement a local cache of revocation data …” | IA-05(02) |
| Identification and Authentication / IA-05(06) | At least every 365 days; three (3) years | “Protect authenticators commensurate with the security category …” | IA-05(06) |
| Identification and Authentication / IA-06 | At least every 365 days | “Obscure feedback of authentication information during the authentication process …” | IA-06 |
| Identification and Authentication / IA-07 | At least every 365 days | “Implement mechanisms for authentication to a cryptographic module …” | IA-07 |
| Identification and Authentication / IA-08 | Quarterly | “Uniquely identify and authenticate non-organizational users …” | IA-08 |
| Identification and Authentication / IA-08(01) | At least every 365 days; three (3) years | “Accept and electronically verify PIV-compliant credentials from other federal agencies.” | IA-08(01) |
| Identification and Authentication / IA-08(02) | Every 6 months | “Accept only external authenticators that are NIST-compliant; and document and maintain a list of accepted external authenticators.” | IA-08(02) |
| Identification and Authentication / IA-08(04) | At least every 365 days | “Conform to the following profiles for identity management …” | IA-08(04) |
| Identification and Authentication / IA-11 | At least every 365 days; three (3) years | “Require users to re-authenticate when … circumstances or situations occur …” | IA-11 |
| Identification and Authentication / IA-12 | At least every 365 days; three (3) years | “Identity proof users … based on appropriate identity assurance level requirements …” | IA-12 |
| Incident Response / IR-01 | At least every 365 days; following CMS-defined events | “Review and update the current incident response … policy at least every 365 days … procedures at least every 365 days …” | IR-01 |
| Incident Response / IR-02 | Within 1 month; within 365 days thereafter; when system changes | “Provide incident response training … within one (1) month of assuming an incident response role or responsibility or acquiring system access; … within every 365 days thereafter …” | IR-02 |
| Incident Response / IR-03 | Every 365 days | “Test the effectiveness of the incident response capability … every 365 days …” | IR-03 |
| Incident Response / IR-04 | Within 72 hours | “Implement an incident handling capability …” base control frequency shown as 72 hours | IR-04 |
| Incident Response / IR-05 | At least every 365 days | “Track and document incidents.” | IR-05 |
| Incident Response / IR-06 | Within 1 hour of discovery/notification; report to Help Desk | “Require personnel to report suspected incidents … within one (1) hour of discovery/notification …” | IR-06 |
| Incident Response / IR-06(01) | At least every 365 days | “Report incidents using automated mechanisms.” | IR-06(01) |
| Incident Response / IR-07 | At least every 365 days | “Provide an incident response support resource …” | IR-07 |
| Incident Response / IR-08 | Review/approve every 365 days; update as needed | “Incident response plan … is reviewed and approved by Business Owner every 365 days …” | IR-08 |
| Incident Response / IR-08(01) | At least every 365 days | “Include the following in the Incident Response Plan for breaches …” | IR-08(01) |
| Maintenance / MA-01 | At least every 365 days; following CMS-defined events | “Review and update the current maintenance … policy at least every 365 days … procedures at least every 365 days …” | MA-01 |
| Maintenance / MA-02 | At least every 365 days | “Schedule, document, and review records of maintenance …” | MA-02 |
| Maintenance / MA-02(02) | At least every 365 days | “Schedule, conduct, and document maintenance … using automated mechanisms; and produce up-to-date … records …” | MA-02(02) |
| Maintenance / MA-03 | Review previously approved tools every 30 days monthly | “Review previously approved system maintenance tools every thirty (30) days monthly.” | MA-03 |
| Maintenance / MA-04 | At least every 365 days | “Approve and monitor nonlocal maintenance and diagnostic activities …” | MA-04 |
| Maintenance / MA-05 | At least every 365 days | “Establish a process for maintenance personnel authorization …” | MA-05 |
| Maintenance / MA-06 | Within applicable RTO of failure | “Obtain maintenance support and/or spare parts … within applicable Recovery Time Objective (RTO) of failure.” | MA-06 |
| Media Protection / MP-01 | At least every 365 days; following CMS-defined events | “Review and update the current media protection … policy at least every 365 days … procedures at least every 365 days …” | MP-01 |
| Media Protection / MP-02 | At least every 365 days | “Restrict access to digital and non-digital media …” | MP-02 |
| Media Protection / MP-03 | At least every 365 days | “Mark system media …” | MP-03 |
| Media Protection / MP-04 | At least every 365 days | “Physically control and securely store digital and non-digital media …” | MP-04 |
| Media Protection / MP-05 | At least every 365 days | “Protect and control digital and non-digital media … during transport …” | MP-05 |
| Media Protection / MP-06 | At least every 365 days | “Sanitize digital and non-digital system media prior to disposal, release out of organizational control, or release for reuse …” | MP-06 |
| Media Protection / MP-06(01) | At least every 365 days | “Review, approve, track, document, and verify media sanitization and disposal actions.” | MP-06(01) |
| Media Protection / MP-06(02) | Every 365 days | “Test sanitization equipment and procedures every 365 days …” | MP-06(02) |
| Media Protection / MP-06(03) | Prior to initial use; when unknown source; when chain of custody lost; when connected to lower assurance network/system | “Apply nondestructive sanitization techniques to portable storage devices prior to connecting such devices to the system under the following circumstances …” | MP-06(03) |
| Media Protection / MP-06(08) | Remotely; annual review frequency shown; three (3) years | “Provide the capability to purge or wipe information from HVA systems, components, and devices Remotely.” | MP-06(08) |
| Media Protection / MP-07 | At least every 365 days | “Prohibit the use of personally owned media … and prohibit the use of portable storage devices … when such devices have no identifiable owner.” | MP-07 |
| Physical and Environmental Protection / PE-01 | At least every 365 days; following CMS-defined events | “Review and update the current physical and environmental protection … policy at least every 365 days … procedures at least every 365 days …” | PE-01 |
| Physical and Environmental Protection / PE-02 | Review access list every 90 days for High; 180 days for Moderate; 365 days for Low | “Review the access list detailing authorized facility access by individuals within every 90 days for High Systems, 180 days for Moderate Systems, and 365 days for Low Systems …” | PE-02 |
| Physical and Environmental Protection / PE-03 | Inventory every 90 days for High/Moderate; 180 days for Low; change keys/combinations within 365 days | “Inventory defined physical access devices every 90 days for High Systems and Moderate Systems, and 180 days for Low Systems; and change combinations and keys within every 365 days …” | PE-03 |
| Physical and Environmental Protection / PE-03(01) | Quarterly | “Enforce physical access authorizations to the system in addition to the physical access controls for the facility …” | PE-03(01) |
| Physical and Environmental Protection / PE-04 | Quarterly | “Control physical access to defined system distribution and transmission lines …” | PE-04 |
| Physical and Environmental Protection / PE-05 | Quarterly | “Control physical access to output from defined output devices …” | PE-05 |
| Physical and Environmental Protection / PE-06 | Weekly / every 7 days | “Review physical access logs weekly (every 7 days) and upon occurrence of defined events …” | PE-06 |
| Physical and Environmental Protection / PE-06(01) | Quarterly | “Monitor physical access … using physical intrusion alarms and surveillance equipment.” | PE-06(01) |
| Physical and Environmental Protection / PE-06(04) | Quarterly | “Monitor physical access to the system in addition to the physical access monitoring of the facility …” | PE-06(04) |
| Physical and Environmental Protection / PE-08 | Maintain records for 2 years; review monthly (every 30 days) | “Maintain visitor access records … for two (2) years; review … no less often than monthly (every 30 days)” | PE-08 |
| Physical and Environmental Protection / PE-08(01) | Quarterly | “Maintain and review visitor access records using automated mechanisms …” | PE-08(01) |
| Physical and Environmental Protection / PE-09 | Quarterly | “Protect power equipment and power cabling …” | PE-09 |
| Physical and Environmental Protection / PE-10 | At least every 365 days; three (3) years | “Provide the capability of shutting off power …” | PE-10 |
| Physical and Environmental Protection / PE-11 | Quarterly | “Provide an uninterruptible power supply …” | PE-11 |
| Physical and Environmental Protection / PE-12 | Quarterly | “Employ and maintain automatic emergency lighting …” | PE-12 |
| Physical and Environmental Protection / PE-13 | Quarterly | “Employ and maintain fire detection and suppression systems that are supported by an independent energy source.” | PE-13 |
| Physical and Environmental Protection / PE-13(01) | Quarterly | “Employ fire detection systems that activate automatically and notify …” | PE-13(01) |
| Physical and Environmental Protection / PE-13(02) | Quarterly | “Employ fire suppression systems that activate automatically and notify …” | PE-13(02) |
| Physical and Environmental Protection / PE-14 | Quarterly | “Maintain temperature, humidity, pressure, and radiation levels … Monitor environmental control levels within the defined frequency …” | PE-14 |
| Physical and Environmental Protection / PE-15 | Quarterly | “Protect the system from damage resulting from water leakage …” | PE-15 |
| Physical and Environmental Protection / PE-15(01) | Quarterly | “Detect the presence of water near the system and alert … using automated mechanisms.” | PE-15(01) |
| Physical and Environmental Protection / PE-16 | Quarterly | “Authorize and control defined types of system components entering and exiting the facility …” | PE-16 |
| Physical and Environmental Protection / PE-17 | Quarterly | “Determine and document the alternate work sites …; employ controls; assess effectiveness …” | PE-17 |
| Physical and Environmental Protection / PE-18 | Quarterly | “Position system components within the facility to minimize potential damage …” | PE-18 |
| Planning / PL-01 | At least every 365 days; following CMS-defined events | “Review and update the current planning … policy at least every 365 days … procedures at least every 365 days …” | PL-01 |
| Planning / PL-02 | Within every 365 days | “Review the plans within every 365 days …” | PL-02 |
| Planning / PL-04 | Every 3 years; re-acknowledge every 365 days | “Review and update the rules of behavior every three (3) years; and require individuals … to read and re-acknowledge every 365 days.” | PL-04 |
| Planning / PL-08 | At least every 3 years | “Review and update the architectures at least every three (3) years …” | PL-08 |
| Planning / PL-09 | No specific cadence stated in requirement text | “Centrally manage controls and related processes within the CMS GRC tool.” | PL-09 |
| Planning / PL-10 | Not specified | “Select a control baseline for the system.” | PL-10 |
| Planning / PL-11 | Not specified | “Tailor the selected control baseline …” | PL-11 |
| Program Management / PM-01 | Every 365 days; following CMS-defined events | “Review and update the organization-wide information security program plan every 365 days …” | PM-01 |
| Program Management / PM-03 | No fixed cadence stated | “Include the resources needed … in capital planning and investment requests …” | PM-03 |
| Program Management / PM-04 | No fixed cadence stated | “Implement a process to ensure that plans of action and milestones … are developed and maintained …” | PM-04 |
| Program Management / PM-05 | Every 30 days | “Develop and update every 30 days an inventory of organizational systems.” | PM-05 |
| Program Management / PM-05(01) | Every 365 days | “Establish, maintain, and update every 365 days an inventory of all systems, applications, and projects that process PII.” | PM-05(01) |
| Program Management / PM-06 | No fixed cadence stated | “Develop, monitor, and report on the results of information security and privacy measures of performance.” | PM-06 |
| Program Management / PM-07 | No fixed cadence stated | “Develop and maintain an enterprise architecture …” | PM-07 |
