URL: https://nvlpubs.nist.gov/nistpubs/legacy/sp/nistspecialpublication800-137.pdf
TITLE: NIST SP 800-137, Information Security Continuous Monitoring ...
ERROR: None

| Section | Extracted operational structure / recurring tasks / artifacts / roles / cadence / fields |
| Risk Executive (Function) role | - Oversees the organization’s ISCM strategy and program<br>- Reviews status reports from the ISCM process as input to information security risk posture and risk tolerance decisions<br>- Provides input to mission/business process and information systems tier entities on ISCM strategy and requirements<br>- Promotes collaboration and cooperation among organizational entities<br>- Facilitates sharing of security-related information<br>- Provides an organization-wide forum to consider all sources of risk<br>- Ensures that risk information is considered for continuous monitoring decisions |
| CIO role | - Leads the organization’s ISCM program<br>- Ensures that an effective ISCM program is established and implemented by establishing expectations and requirements<br>- Works closely with authorizing officials to provide funding, personnel, and other resources to support ISCM<br>- Maintains high-level communications and working group relationships among organizational entities |
| SISO role | - Establishes, implements, and maintains the organization’s ISCM program<br>- Develops organizational program guidance (policies/procedures) for continuous monitoring of the security program and information systems<br>- Develops configuration management guidance for the organization<br>- Consolidates and analyzes POA&Ms to determine organizational security weaknesses and deficiencies<br>- Acquires or develops and maintains automated tools to support ISCM and ongoing authorizations<br>- Provides training on the organization’s ISCM program and process<br>- Provides support to information owners/information system owners and common control providers on how to implement ISCM for their information systems |
| AO role | - Assumes responsibility for ensuring the organization’s ISCM program is applied with respect to a given information system<br>- Ensures the security posture of the information system is maintained<br>- Reviews security status reports and critical security documents<br>- Determines if the risk to the organization from operation of the information system remains acceptable<br>- Determines whether significant information system changes require reauthorization actions<br>- Reauthorizes the information system when required |
| ISO / Information Owner / Steward role | - Establishes processes and procedures in support of system-level implementation of the organization’s ISCM program<br>- Develops and documents an ISCM strategy for the information system<br>- Participates in the organization’s configuration management process<br>- Establishes and maintains an inventory of components associated with the information system<br>- Conducts security impact analyses on changes to the information system<br>- Conducts, or ensures conduct of, assessment of security controls according to the ISCM strategy<br>- Prepares and submits security status reports in accordance with organizational policy and procedures<br>- Conducts remediation activities as necessary to maintain system authorization<br>- Revises the system-level security control monitoring process as required<br>- Reviews ISCM reports from common control providers to verify common controls continue to provide adequate protection<br>- Updates critical security documents based on ISCM results |
| Common Control Provider role | - Establishes processes and procedures in support of ongoing monitoring of common controls<br>- Develops and documents an ISCM strategy for assigned common controls<br>- Participates in the organization’s configuration management process<br>- Establishes and maintains an inventory of components associated with the common controls<br>- Conducts security impact analyses on changes that affect the common controls<br>- Ensures security controls are assessed according to the ISCM strategy<br>- Prepares and submits security status reports in accordance with organizational policy/procedures<br>- Conducts remediation activities as necessary to maintain common control authorization<br>- Updates/revises the common security control monitoring process as required<br>- Updates critical security documents as changes occur<br>- Distributes critical security documents to individual information owners/information system owners, and other senior leaders in accordance with organizational policy/procedures |
| ISSO role | - Supports the organization’s ISCM program by assisting the ISO in completing ISCM responsibilities<br>- Participates in the configuration management process |
| Security Control Assessor role | - Provides input into the types of security-related information gathered as part of ISCM<br>- Assesses information system or program management security controls for the organization’s ISCM program<br>- Develops a security assessment plan for each security control<br>- Submits the security assessment plan for approval prior to conducting assessments<br>- Conducts assessments of security controls as defined in the security assessment plan<br>- Updates the security assessment report as changes occur during ISCM<br>- Updates/revises the security assessment plan as needed |
| Other roles mentioned | - Information system administrator<br>- ISCM program manager |
| Organization-wide ISCM strategy policies/procedures/templates | - Policy that defines key metrics<br>- Policy for modifications to and maintenance of the monitoring strategy<br>- Policy and procedures for the assessment of security control effectiveness (common, hybrid, and system-level controls)<br>- Policy and procedures for security status monitoring<br>- Policy and procedures for security status reporting (on control effectiveness and status monitoring)<br>- Policy and procedures for assessing risks and gaining threat information and insights<br>- Policy and procedures for configuration management and security impact analysis<br>- Policy and procedures for implementation and use of organization-wide tools<br>- Policy and procedures for establishment of monitoring frequencies<br>- Policy and procedures for determining sample sizes and populations and for managing object sampling<br>- Procedures for determining security metrics and data sources<br>- Templates for assessing risks<br>- Templates for security status reporting (on control effectiveness and status monitoring) |
| Training requirements tied to ISCM roles | - Policies, procedures, and templates address manual and automated monitoring methodologies<br>- Organizations establish policy and procedures for training of personnel with ISCM roles<br>- Training may include management and use of automated tools, establishing baselines, tuning measurements, recognition of and appropriate response to triggers and alerts from metrics indicating risks beyond acceptable limits, and internal or external reporting requirements |
| Expected inputs / outputs: Tier 1 & 2 strategy development | **Expected Input:** Organizational risk assessment and current risk tolerance; current threat information; organizational expectations and priorities; available tools from OMB lines of business and/or third-party vendors<br>**Expected Output:** Updated information on organizational risk tolerance; organization-wide ISCM strategy and associated policy, procedures, templates, tools |
| Expected inputs / outputs: Tier 3 strategy development | **Expected Input:** Organizational risk tolerance information; organizational ISCM strategy, policy, procedures, templates; system-specific threat information; system information (e.g., System Security Plan, Security Assessment Report, Plan of Action and Milestones, Security Assessment Plan, System Risk Assessment, etc.)<br>**Expected Output:** System-level ISCM strategy that complements the Tier 1 and 2 strategies and the organizational security program and that provides security status information for all tiers and real-time updates for ongoing system authorization decisions as directed by the organizational ISCM strategy |
| Required or cited artifacts / evidence | - System Security Plan<br>- Risk Assessment Report<br>- Security Assessment Report<br>- Plan of Action and Milestones (POA&M)<br>- Hardware and software inventories<br>- Security Assessment Plan<br>- Security status reports<br>- Critical security documents<br>- Security-related information from assessments and monitoring<br>- Evidence needed for ongoing authorization decisions |
| Ongoing authorization artifacts | - System Security Plan together with Risk Assessment Report, Security Assessment Report, and POA&M are kept up to date on an ongoing basis |
| POA&M use | - POA&M resource and prioritization decisions<br>- Consolidated POA&M information used to determine common weaknesses/deficiencies among information systems<br>- Aggregate POA&M information used to allocate risk mitigation resources organization-wide and to make adjustments to the monitoring strategy<br>- Risk response implementation plans documented in the system’s POA&M<br>- Weaknesses found are evaluated and mitigation actions are conducted immediately or are added to the POA&M |
| Analysis/reporting procedures | - Organizations develop procedures for analyzing and reporting assessment and monitoring results<br>- Procedures include specific staff/roles to receive ISCM reports, content and format of the reports, frequency of reports, and any tools to be used<br>- Includes requirements for analyzing and reporting results of controls that are not easily automated<br>- May require additional data to supplement or clarify security-related information under analysis or provided in initial reports |
| Analyze data (3.4.1) | - Security-related information resulting from ISCM is analyzed in the context of stated risk tolerances, potential impact of vulnerabilities on information systems, mission/business processes, and organization as a whole, and potential impact of mitigation options<br>- Evolving vulnerability and threat data is always considered during analysis<br>- Organizational officials review analyzed reports to determine whether to conduct mitigation activities or to transfer, avoid/reject, or accept risk<br>- Authorizing officials may determine accepting some specific risk is preferable to implementing a mitigating response<br>- Rationale for determinations may include organizational risk tolerance, negative impact to mission/business processes, or cost-effectiveness/return on investment<br>- Resolution of risk and the rationale for the decision is recorded in accordance with organizational policies and procedures |
| Analyze data expected outputs | - Analysis of security status information for all tiers<br>- Updated System Security Plan, Security Assessment Report, and Plan of Action and Milestones<br>- Revised organizational risk management decisions |
| Report on security control assessments (3.4.2) | - Organizations report on assessments of all implemented security controls for effectiveness in accordance with organizational requirements<br>- Security-related information from assessments may be conveyed in templates or spreadsheets or collected and reported in an automated fashion<br>- At the system level, security-related information from assessments directly supports ongoing authorization decisions and plans of action and milestones creation and tracking<br>- Some security controls or elements of security controls are security metrics (e.g., SI-4 Information System Monitoring), so assessing them results in monitoring the related metric |
| Report on security control assessments frequencies/examples | - Risk executive (function) may receive a general report on all systems annually and a detailed report on specific high-impact systems quarterly<br>- CIO and SISO may receive more granular technical data on all systems quarterly<br>- AO may receive monthly comprehensive reports on the systems for which s/he is responsible<br>- CIRT lead may receive exception reports when alerts are generated<br>- Network administrators may review dashboards showing network activity updated every minute, with summary metrics updated hourly or daily |
| Report on security status monitoring (3.4.3) | - Organizations develop procedures for reporting on security status monitoring<br>- Security status data is derived from monitoring predefined metrics across the organization using output generated by organization-wide tools (often implemented as common controls)<br>- Organization-wide tools may be part of a specific system or systems, but the security-related information generated may not be system-specific |
| Reporting requirements recorded in ISCM strategy | - Specific staff/roles to receive ISCM reports<br>- Content and format of the reports<br>- Frequency of reports<br>- Any tools to be used |
| Respond to findings | - Response to findings at all tiers may include risk mitigation, risk acceptance, risk avoidance/rejection, or risk sharing/transfer, in accordance with organizational risk tolerance<br>- Responses are coordinated with appropriate security management activities such as the security-focused configuration management program |
| Tier 1 response | - May result in changes to security policies around organizational governance<br>- May be constrained by mission/business needs and the limitations of the enterprise architecture (including the human components), immutable governance policies, or other external drivers |
| Tier 2 response | - May include requests for additional security-related information, new or modified metrics, changes in mission/business processes, or Tier 3 reporting requirements, and/or additions or modifications to common control implementations<br>- May be constrained by organizational governance policies and strategies as well as mission/business goals and objectives and limitations of organizational resources and infrastructure |
| Tier 3 response | - May include implementation of additional controls, modifications to previously implemented controls, removal of systems’ authorization to operate, changes to the frequency of monitoring, and/or additional or more detailed analysis of security-related information<br>- System-level mitigations are made within constraints set by Tier 1 and 2 policies, requirements, and strategies |
| Response documentation | - Response strategies may be implemented over a period of time, documenting implementation plans in the system’s Plan of Action and Milestones<br>- As weaknesses are found, response actions are evaluated and any mitigation actions are conducted immediately or are added to the POA&M<br>- Other key system documents are updated accordingly<br>- Security controls modified, enhanced, or added as part of response are assessed to ensure new or revised controls are effective in their implementations<br>- Going forward, new or revised controls are included in the overall continuous monitoring strategy |
| Review/update monitoring program and strategy | - ISCM strategies and programs are not static<br>- Security control assessments, security status metrics, and monitoring and assessment frequencies change in accordance with organizational needs<br>- Continuous monitoring strategy is reviewed to ensure it supports operating within acceptable risk tolerance levels, metrics remain relevant, and data is current and complete<br>- The organization establishes a procedure for reviewing and modifying all aspects of the ISCM strategy, including relevance of the overall strategy, accuracy in reflecting organizational risk tolerance, accuracy/correctness of measurements, and applicability of metrics, reporting requirements, and monitoring and assessment frequencies |
| Factors precipitating monitoring strategy changes | - Changes to core missions or business processes<br>- Significant changes in the enterprise architecture (including addition or removal of systems)<br>- Changes in organizational risk tolerance<br>- Changes in threat information<br>- Changes in vulnerability information<br>- Changes within information systems (including changes in categorization/impact level)<br>- Increase/decrease in POA&Ms related to specific controls<br>- Trend analyses of status reporting output<br>- New federal laws or regulations<br>- Changes to reporting requirements |
| Review/update outputs | - Revised ISCM strategy<br>- Or a brief documented report noting review details and that modifications to the strategy were not necessary (in accordance with the established review process) |
| ISCM strategy review criteria | - Relevance of the overall strategy<br>- Accuracy in reflecting organizational risk tolerance<br>- Accuracy/correctness of measurements<br>- Applicability of metrics<br>- Reporting requirements<br>- Monitoring and assessment frequencies |
| Monitoring and assessment frequency criteria | - Security control volatility<br>- System categorizations/impact levels<br>- Security controls or specific assessment objects providing critical functions<br>- Security controls with identified weaknesses<br>- Organizational risk tolerance<br>- Threat information<br>- Vulnerability information<br>- Risk assessment results<br>- Output of monitoring strategy reviews<br>- Reporting requirements |
| Security control volatility examples | - CM-6 Configuration Settings and CM-8 Information System Component Inventory may require more frequent assessment and monitoring<br>- PS-2 Position Categorization and PS-3 Personnel Screening typically require less frequent assessment |
| Critical function examples | - Log management server<br>- Firewalls |
| Weaknesses and POA&M monitoring | - Existing risks documented in SARs are considered for more frequent monitoring to ensure risks stay within tolerance<br>- Controls documented in the POA&M as having weaknesses are monitored more frequently until remediation of the weakness is complete<br>- Minor or low-impact weaknesses are monitored less frequently than higher-impact weaknesses |
| Organizational risk tolerance examples | - Low tolerance organizations include those processing, storing, or transmitting large amounts of proprietary and/or personally identifiable information (PII), organizations with numerous high-impact systems, organizations facing specific persistent threats |
| Threat information examples | - Known exploits and attack patterns<br>- Temporary or permanent increases to monitoring frequencies may be used if a specific attack exploits a vulnerability of an implemented technology |
| Vulnerability information example | - If a specific product manufacturer provides software patches monthly, an organization might consider vulnerability scans on that product at least that often |
| Reporting requirements example | - If OMB policy requires quarterly reports on the number of unauthorized components detected and corrective actions taken, the organization would monitor the system for unauthorized components at least quarterly |
| AC-2 example | - AC-2, Account Management, has ten separate requirements (a. through j.) within the base control and four control enhancements [(1) through (4)]<br>- AC-2a (identification of account types) is a candidate for relatively infrequent assessment<br>- AC-2h (deactivation of temporary accounts and accounts of terminated or transferred users) would most likely be assessed more frequently than AC-2a<br>- AC-2 (3) automatically disables accounts after a specified time period of inactivity and is a candidate for relatively frequent monitoring |
| Sampling guidance | - Organizations may find collecting data from every object of every system impractical or cost-prohibitive<br>- Sampling may make ISCM more cost-effective<br>- Risk: sample population may fail to capture variations in assessment outcomes that would be obtained from full population assessment<br>- NIST SP 800-53A describes how to achieve satisfactory coverage for examine, interview, and test<br>- Coverage criteria: types of objects; number of each type; specific objects per type assessed |
| Sampling considerations | - Desired information<br>- Cost and practicality of making the assessment<br>- Information already known about the objects, organization, or operating environments<br>- Anticipated variability across the total population<br>- Desired confidence in resulting statistics and conclusions drawn about the total population |
| Sampling roles | - Primary Roles: Information System Owner, Common Control Provider, Information System Security Officer, Security Control Assessor<br>- Supporting Roles: Risk Executive (Function), Authorizing Official, Chief Information Officer, Senior Information Security Officer |
| Sampling expected input/output | - Expected Input: Organizational- and system-level policy and procedures on ISCM strategy, metrics, and the Security Assessment Plan updated with assessment and monitoring frequencies<br>- Expected Output: Security Assessment Plan documentation on acceptable sample sizes, security-related information |
| ISCM architecture requirements | - Data collection<br>- Data storage<br>- Data analysis capabilities<br>- Retrieval and presentation (reporting) capabilities |
| ISCM architecture characteristics | - Methodologies standardized to facilitate efficiencies, intra- and inter-tier information exchange, correlation, and other analysis<br>- Policies and procedures designed to minimize data calls and maximize data reuse<br>- Data feeds come from a heterogeneous mix of sources (e.g., authorization packages, training records, system logs) and accommodate different stakeholder views<br>- Interoperable data specifications (e.g., SCAP, XML) enable data to be collected once and reused many times |
| Implementation stage data sources | - People<br>- Processes<br>- Technologies<br>- The computing environment<br>- Existing relevant security control assessment reports |
| Implementation stage output | - Security-related information |
| Analysis/reporting deliverable formats | - Recurring reports<br>- Automated reports<br>- Ad hoc reports<br>- Data feeds<br>- Database views |
| Event-driven assessments | - Events may trigger the immediate need to assess security controls or verify security status outside of requirements expressed in the ISCM strategy<br>- May require an unplanned assessment of the type defined in the ISCM strategy or a customized assessment tailored to address an emerging need (e.g., a change in planned assessment or monitoring frequency)<br>- Criteria consider incidents, new threat information, significant changes to systems and operating environments, new or additional mission responsibilities, and results of a security impact analysis (SIA) or assessment of risk<br>- Depending on significance, an event-driven assessment may trigger one or more system reauthorizations |
| Event-driven assessment output | - Documented criteria and thresholds for event-driven assessments/authorizations (e.g., significant change procedures, policy and procedures on event-driven authorizations) |
| ISCM roles and responsibilities in process | - Tier 1 and Tier 2 officials provide input to development of the organizational ISCM strategy, including establishment of metrics, policy, procedures, compiling and correlating Tier 3 data into security-related information usable at Tiers 1 and 2, policies on assessment and monitoring frequencies, and provisions for ensuring sufficient depth and coverage when sampling methodologies are utilized<br>- Review monitoring results to determine security status in accordance with organizational policy and definitions<br>- Analyze potential security impact to organization and mission/business process functions resulting from changes to information systems and their environments of operation, along with security impact to the enterprise architecture resulting from addition or removal of information systems<br>- Determine whether current risk is within organizational risk tolerance levels<br>- Take steps to respond to risk as needed (e.g., request new or revised metrics, additional or revised assessments, modifications to existing common or PM security controls, or additional controls)<br>- Update relevant security documentation<br>- Review new or modified legislation, directives, policies, etc., for changes to security requirements<br>- Review monitoring results to determine if organizational plans and policies should be adjusted or updated<br>- Review monitoring results to identify new information on vulnerabilities<br>- Review new or emerging threats as evidenced by threat activities present in monitoring results, threat modeling (asset- and attack-based), classified and unclassified threat briefs, US-CERT reports, and other information available through trusted sources, interagency sharing, and external government sources |
| Tier 3 responsibilities in process | - Provide input to development and implementation of the organization-wide ISCM strategy along with development and implementation of the system level ISCM strategy<br>- Support planning and implementation of security controls, deployment of automation tools, and how those tools interface with one another in support of the ISCM strategy<br>- Determine security impact of changes to the information system and its environment of operation, including commissioning or decommissioning the system<br>- Assess ongoing security control effectiveness<br>- Take steps to respond to risk as needed (e.g., request additional or revised assessments, modify existing security controls, implement additional security controls, accept risk, etc.) based on results of ongoing monitoring activities, assessment of risk, and outstanding items in the plan of action and milestones<br>- Provide ongoing input to the security plan, security assessment report, and plan of action and milestones based on results of the ISCM process<br>- Report the security status of the information system including the data needed to inform Tiers 1 and 2 metrics<br>- Review the reported security status of the information system to determine whether the risk to the system and the organization remains within organizational risk tolerances |
| Roles and outputs for tier activities | - Tiers 1 and 2 output: Updated information on organizational risk tolerance; organization-wide ISCM strategy and associated policy, procedures, templates, tools<br>- Tier 3 output: System-level ISCM strategy that complements the Tier 1 and 2 strategies and the organizational security program and that provides security status information for all tiers and real-time updates for ongoing system authorization decisions as directed by the organizational ISCM strategy |
| Policies/procedures/templates developed at higher tiers | - Lower tiers fill in gaps related to their tier-specific processes<br>- Decisions and activities by Tier 1 and 2 officials may be constrained by mission/business needs, limitations of the infrastructure (including human components), immutable governance policies, and external drivers |
| Automated mechanisms / tools referenced as supporting evidence or recurring tasks | - Vulnerability scanning tools<br>- Network scanning devices<br>- Help desk integration<br>- Inventory management<br>- Configuration management<br>- Incident response solutions<br>- SIEM tools<br>- Dashboard products |
| Tool selection considerations | - Pull information from a variety of sources (assessment objects)<br>- Use open specifications such as SCAP<br>- Offer interoperability with other products such as help desk, inventory management, configuration management, and incident response solutions<br>- Support compliance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidelines<br>- Provide reporting with the ability to tailor output and drill down from high-level, aggregate metrics to system-level metrics<br>- Allow for data consolidation into SIEM tools and dashboard products |
| D.1 security automation domains | - Vulnerability Management<br>- Patch Management<br>- Event Management<br>- Incident Management<br>- Malware Detection<br>- Asset Management<br>- Configuration Management<br>- Network Management<br>- License Management<br>- Information Management<br>- Software Assurance |
| Vulnerability and patch management recurring tasks | - Identify, report, and remediate vulnerabilities in a coordinated, organization-wide manner using automated vulnerability and patch management tools and technologies<br>- Vulnerability scanners identify known vulnerabilities on hosts and networks and on commonly used operating systems and applications<br>- Patch management tools scan for vulnerabilities on systems and system components participating in the organization’s patching solution, provide information regarding needed patches and other software updates on affected devices, and allow an administrator to decide on the patching implementation process |
| Vulnerability and patch management evidence/artifacts | - Alerts and reports about identified vulnerabilities<br>- Patch information regarding needed patches and other software updates |
| D.1.1 security controls supported by vulnerability/patch management | - SI-2 Flaw Remediation<br>- CA-2 Security Assessments<br>- CA-7 Continuous Monitoring<br>- CM-3 Configuration Change Control<br>- IR-4 Incident Handling<br>- IR-5 Incident Monitoring<br>- MA-2 Controlled Maintenance<br>- RA-5 Vulnerability Scanning<br>- SA-11 Developer Security Testing<br>- SI-11 Error Handling |
| Event management / logging recurring tasks | - Monitor and respond as necessary to observable occurrences in a network or system<br>- Generate, transmit, store, analyze, and dispose of security log data<br>- Routine log analysis identifies security incidents, policy violations, fraudulent activity, and operational problems |
| Event/logging evidence/artifacts | - Logs<br>- Log entries<br>- Security records stored in sufficient detail for an appropriate period of time |
| D.1.2 security controls supported by event/log management | - AU-2 Auditable Events<br>- AU-3 Content of Audit Records<br>- AU-4 Audit Storage Capacity<br>- AU-5 Response to Audit Processing Failures<br>- AU-6 Audit Review, Analysis, and Reporting<br>- AU-7 Audit Reduction and Report Generation<br>- AU-8 Time Stamps<br>- AU-12 Audit Generation<br>- CA-2 Security Assessments<br>- CA-7 Continuous Monitoring<br>- IR-5 Incident Monitoring<br>- RA-3 Risk Assessment<br>- SI-4 Information system Monitoring |
| IDPS tasks | - Monitor events occurring in a computer system or network and analyze them for signs of possible incidents<br>- Attempt to stop possible incidents as they are detected<br>- Record information related to observed events<br>- Notify security administrators of important observed events<br>- Automatically generate reports<br>- May respond to detected threat using changing security configurations or blocking the attack |
| IDPS evidence/artifacts | - Observed events<br>- Important observed events<br>- Reports generated by IDPSs |
| D.1.2 IDPS support | - Evidence of effectiveness of security controls<br>- Document existing threats<br>- Deter unauthorized use of information systems |
| D.1.2 additional support | - US-CERT incident reporting requirements<br>- OMB and agency CIO reporting requirements in areas of system and connections inventory, security incident management, boundary protections, and configuration management |
| Malware detection tasks | - Periodic scans of information systems<br>- Real-time scans of files from external sources as files are downloaded, opened, or executed<br>- Malicious code detection at entry and exit points and at endpoints |
| Malware detection response | - Mechanisms can frequently take a predetermined action in response to malicious code detection |
| D.1.3 security controls supported by malware detection | - CA-2 Security Assessments<br>- CA-7 Continuous Monitoring<br>- IR-5 Incident Monitoring<br>- RA-3 Risk Assessment<br>- SA-12 Supply Chain Protection<br>- SA-13 Trustworthiness<br>- SI-3 Malicious Code Protection<br>- SI-4 Information System Monitoring<br>- SI-7 Software and Information Integrity<br>- SI-8 Spam Protection |
| Asset management tasks | - Maintain inventory of software and hardware within the organization<br>- Track the life cycle of an organization’s assets<br>- Remote management of assets<br>- Various automated management functions |
| D.1.4 security controls supported by asset management | - CA-7 Continuous Monitoring<br>- CM-2 Baseline Configuration<br>- CM-3 Configuration Change Control<br>- CM-4 Security Impact Analysis<br>- CM-8 Information System Component Inventory<br>- SA-10 Developer Configuration Management |
| Configuration management tasks | - Configure settings<br>- Monitor changes to settings<br>- Collect setting status<br>- Restore settings as needed<br>- Audit and assess target system compliance with a defined secure baseline configuration<br>- Manage identification credentials, access control, authorization, privileges<br>- Automate account password resets and other account maintenance activities<br>- Monitor and report on unsuccessful login attempts, account lockouts, and resource access |
| Configuration management tools considerations | - Pull information from a variety of sources and components<br>- Based on open specifications such as SCAP<br>- Support organization-wide interoperability, assessment, and reporting<br>- Provide the ability to tailor and customize output<br>- Allow for data consolidation into SIEM tools and management dashboards |
| D.1.5 security controls supported by configuration management | - AC-2 Account Management<br>- AC-3 Access Enforcement<br>- AC-5 Separation of Duties<br>- AC-7 Unsuccessful Login Attempts<br>- AC-9 Previous Logon (Access) Notification<br>- AC-10 Concurrent Session Control<br>- AC-11 Session Lock<br>- AC-19 Access Control for Mobile Devices<br>- AC-20 Use of External Information Systems<br>- AC-22 Publicly Accessible Content<br>- CA-2 Security Assessments<br>- CA-7 Continuous Monitoring<br>- CM-2 Baseline Configuration<br>- CM-3 Configuration Change Control<br>- CM-5 Access Restrictions for Change<br>- CM-6 Configuration Settings<br>- CM-7 Least Functionality<br>- IA-2 Identification and Authentication (Organizational Users)<br>- IA-3 Device Identification and Authentication<br>- IA-4 Identifier Management<br>- IA-5 Authenticator Management<br>- IA-8 Identification and Authentication (Non-Organizational Users)<br>- IR-5 Incident Monitoring<br>- MA-5 Maintenance Personnel<br>- PE-3 Physical Access Control<br>- RA-3 Risk Assessment<br>- SA-7 User Installed Software<br>- SA-10 Developer Configuration Management<br>- SI-2 Flaw Remediation |
| Network management tasks | - Host discovery<br>- Inventory<br>- Change control<br>- Performance monitoring<br>- Other network device management capabilities<br>- Automate device configuration and validate device compliance against pre-configured policies<br>- Discover unauthorized hardware and software on the network, such as a rogue wireless access point |
| D.1.6 security controls supported by network management | - AC-4 Information Flow Enforcement<br>- AC-17 Remote Access<br>- AC-18 Wireless Access<br>- CA-7 Continuous Monitoring<br>- CM-2 Baseline Configuration<br>- CM-3 Configuration Change Control<br>- CM-4 Security Impact Analysis<br>- CM-6 Configuration Settings<br>- CM-8 Information System Component Inventory<br>- SC-2 Application Partitioning<br>- SC-5 Denial of Service Protection<br>- SC-7 Boundary Protection<br>- SC-10 Network Disconnect<br>- SC-32 Information System Partitioning<br>- SI-4 Information System Monitoring |
| License management tasks | - Track license compliance<br>- Monitor usage status<br>- Manage the software asset life cycle<br>- Automate inventory, utilization monitoring and restrictions, deployment, and patches for software and applications |
| D.1.7 security controls supported by license management | - CA-7 Continuous Monitoring<br>- CM-8 Information System Component Inventory<br>- SA-6 Software Usage Restrictions |
| Information management / DLP tasks | - Data inventory and classification<br>- Data metric collection<br>- Policy development for data creation, use, storage, transmission, and disposal<br>- Monitor data at rest, in use, and in transit<br>- Alerting via email<br>- Logging activities<br>- Blocking transmissions |
| DLP evidence/artifacts | - Data inventory<br>- Classification<br>- Metrics<br>- Monitoring outputs from network and security tools<br>- DLP software outputs |
| D.1.8 security controls supported by information management / DLP | - AC-4 Information Flow Enforcement<br>- AC-17 Remote Access<br>- CA-3 Information System Connections<br>- CA-7 Continuous Monitoring<br>- CM-7 Least Functionality<br>- SC-9 Transmission Confidentiality<br>- SI-12 Information Output Handling and Retention |
| Software assurance tasks/specifications | - Planned and systematic set of activities ensuring software processes and products conform to requirements, standards, and procedures<br>- Objectives: trustworthiness; predictable execution<br>- SwAAP measures and enumerates software weaknesses and assurance cases<br>- Uses CWE, CWSS, CAPEC, MAEC |
| D.1.9 security controls supported by software assurance | - CA-7 Continuous Monitoring<br>- SA-4 Acquisitions<br>- SA-8 Security Engineering Principles<br>- SA-11 Developer Security Testing<br>- SA-12 Supply Chain Protection<br>- SA-13 Trustworthiness<br>- SA-14 Critical Information System Components<br>- SI-13 Predictable Failure Prevention |
| SIEM tasks | - Integrate analysis of vulnerability scanning information, performance data, network monitoring, and system audit record (log) information<br>- Centralized logging software that can facilitate aggregation and consolidation of logs from multiple information system components<br>- Facilitate audit record correlation and analysis<br>- Analyze data from all different audit record sources<br>- Correlate events among audit record entries<br>- Identify and prioritize significant events<br>- Can be configured to initiate responses to events<br>- Categorize important audit record fields<br>- Perform event reduction by disregarding non-significant data fields |
| SIEM evidence/artifacts | - Audit record sources<br>- Audit record entries<br>- Vulnerability scanning information<br>- Performance data<br>- Network monitoring data<br>- System audit record (log) information |
