URL: https://www.dcsa.mil/Portals/91/Documents/CTP/special/DoD_SAP_PM_Handbook_JSIG_RMF_2015Aug11.pdf
TITLE: Program Manager's Handbook JSIG-RMF
ERROR: None

### Handbook structure relevant to operational runbook/SOP, recurring execution, evidence, POA&M/remediation, roles, templates, escalation, cadence, and fields captured

| Section / Phase | Explicitly stated operational content |
| **Agency/Element Head (Government)** | - Ultimate responsibility for mission accomplishment and execution of business functions<br>- Responsible for adequately mitigating risks to the element, its individuals, and the Nation<br>- Defines priorities to ensure collaboration and information-sharing sufficient to ensure both element and DoD SAP Community-wide mission accomplishment<br>- Responsible for ensuring that: (i) information security management processes are integrated with strategic and operational planning processes; (ii) senior officials within the organization provide information security for the information and information systems that support the operations and assets under their control; and (iii) the organization has trained personnel sufficient to assist in complying with information security requirements in related legislation, policies, directives, instructions, standards, and guidelines |
| **Risk Executive (Function) Government** | - May be fulfilled by an individual, a group, or an assigned function within an organization<br>- Directly supports the AO<br>- Ensures risk-related considerations for individual information systems, to include authorization decisions, are viewed from an organization-wide perspective<br>- Ensures managing information-system-related security risks is consistent across the organization, reflects organizational risk tolerance, and is considered along with other types of risks in order to ensure mission/business success |
| **Chief Information Officer (CIO) (Government)** | - Along with the Element Head and other senior officials, ensures that information systems are acquired and information resources are managed in a manner consistent with laws, Executive Orders, directives, policies, regulations, as well as priorities established by the Element Head<br>- Develops, maintains, and ensures the implementation of sound, secure, integrated, IS architectures<br>- Promotes the effective, efficient design, development, and operations of all major information and resource management processes |
| **Chief Information Security Officer (CISO)/Senior Information Security Officer (SISO)** | - Executes the CIO’s responsibilities under the Federal Information Security Management Act (FISMA) of 2002<br>- Serves as the CIO’s liaison to the DoD SAP organization’s AOs, ISO, Common Control Providers (CCP), and ISSO/ISSM |
| **Authorizing Official (AO) (Government)** | - Senior official or executive with authority to formally assume responsibility for operating an IS at an acceptable level of risk to organizational operations, organizational assets, individuals, other organizations, and national security<br>- May have budgetary oversight for an IS or be responsible for the mission/business operations supported by the system<br>- Accountable for security risks associated with information system operations<br>- May appoint one or more Delegated Authorizing Officials (DAO) in writing to expedite authorizations of designated systems and provide mission support<br>- Determines the acceptable level of risk associated with a given information system and the collective risk to the organization from information systems operating across the organization<br>- Takes under advisement observations and concerns from members of the REf including the Director of Security, CIO, CISO, et.al, when making an acceptable risk determination |
| **Delegated Authorizing Official (DAO) (Government)** | - Delegated authority by an AO to carry out specific activities for specific systems as identified by the AO (e.g., authorizations to operate) |
| **Security Control Assessor (SCA)** | - Appointed in writing by the AO to act on his or her behalf to conduct a security assessment<br>- Responsible for conducting a comprehensive assessment of the management, operational, and technical security controls employed within or inherited by an IS<br>- Determines overall effectiveness of the controls<br>- Provides an assessment of the severity of weaknesses or deficiencies discovered in the IS and its environment of operation<br>- Recommends corrective actions to address identified vulnerabilities<br>- Loyalty is to the AO<br>- Will inform the PM/ISO whether an assessment is satisfactory or not and whether the system is being maintained at an acceptable level of risk |
| **Common Control Provider (CCP)** | - Responsible for the development, implementation, assessment, and monitoring of common controls<br>- Organizations can have multiple CCPs depending upon how information security responsibilities are allocated organization-wide |
| **Information Owner/Steward (Government)** | - Organization official with statutory, management, or operational authority for specific information<br>- Responsible for establishing the policies and procedures governing generation, collection, processing, dissemination, and disposal of information |
| **Mission/Business Owner (MBO) (Government)** | - Has operational responsibility for the mission or business process supported by the mission/business segment or the information system<br>- Key participant/stakeholder regarding system life-cycle decisions |
| **Information System Owner (ISO)** | - Responsible for overall procurement, development, integration, modification, operation, maintenance, and disposal of an information system (and system components)<br>- Responsible for development and provision of the SSP and every other document required for security ATO<br>- Responsible for ensuring that the program ISSM and ISSE are identified<br>- Focal point for the IS<br>- ISSM and ISSE support the ISO and serve as a central point of contact regarding the authorization process<br>- PM/ISO responsibilities are also described as including all ISO tasks in the RMF |
| **Information System Security Engineer (ISSE)/Information Assurance Systems Architect and Engineer (IASAE)** | - Ensures that information-security requirements are effectively implemented throughout the security architecting, design, development, configuration, and implementation processes<br>- Coordinates security-related activities with ISOs, ISSOs/ISSMs, and CCPs |
| **Information System Security Manager (ISSM)/Information System Security Officer (ISSO)** | - Appointed in writing by the ISO<br>- Responsible for maintaining the day-to-day security posture and continuous monitoring of a system<br>- Responsible for the overall IA of a program, organization, system, or enclave |
| **PM/ISO delegation statement** | - PM/ISO frequently delegates document development (e.g. SSP, SCTM, RAR, ConMon Plan, Security Assessment Plans, et.al.) to the ISSM/ISSO (or ISSE if the system has one)<br>- Responsibility for ensuring the documents are completed, accurately reflecting the system and environment, and in a timely manner to allow for assessment and authorization to operate to meet mission needs remains with the PM/ISO |

### Process, cadence, and recurring execution requirements

| Item | Explicitly stated cadence / recurring requirement |
|---|---|
| **Handbook review** | Annually by the JSCS WG |
| **Continuous monitoring model** | Continuous monitoring of security controls and periodic reauthorization |
| **RMF Step 6 compliance** | Each Program must “test” at least one-third of the security controls annually and verify the continued compliance of the remaining controls |
| **Three-year authorization period** | By the end of the three-year authorization period, every control will have been tested at least once |
| **Assessment frequency guidance** | Critical or more volatile controls should be assessed more frequently, e.g. quarterly, semi-annually; more static controls may be assessed once every three years |
| **ConMon reporting** | Continuous monitoring compliance will be reported at least annually to the respective AO |
| **ConMon report submission** | A ConMon Report is submitted to the AO/SCA at least annually |
| **Document updates in Step 6** | All documents created earlier, as well as the system inventory, are updated as needed (at least annually) as part configuration management and monitoring activities |

### Security authorization artifacts / evidence / body of evidence

| Artifact | Explicitly stated contents / purpose / usage |
|---|---|
| **Security Authorization Package** | - Includes security authorization artifacts submitted for AO adjudication<br>- PM/ISO will sign off on the Security Authorization Package before forwarding it to the SCA/AO, indicating the documentation accurately reflects the configuration and security state of the IS and environment in which it operates |
| **Body of Evidence (BoE)** | - Security authorization artifacts submitted as part of the Security Authorization Package |
| **System Security Plan (SSP)/Security Controls Traceability Matrix (SCTM)** | - Provides an overview of security requirements, description of agreed-upon controls and other supporting security-related information |
| **Risk Assessment Report (RAR)** | - Defines the organizationally established level of acceptable risk associated with operation of an IT system at a specific level; identifies risks; provides an assessed residual-risk-level for the system |
| **Continuous Monitoring (ConMon) Plan** | - Provides the strategy to routinely evaluate selected IA controls/metrics |
| **Security Assessment Report (SAR)** | - Contains security control assessment results and recommended corrective actions for security-control weaknesses and deficiencies |
| **Plan of Action and Milestones (POA&M)** | - Defines plans of action and milestones related to correcting weaknesses or deficiencies, reducing or eliminating known vulnerabilities, and identifies completion dates |
| **Security Assessment Plan** | - Provides a roadmap for how the assessment will be conducted, the type of assessment<br>- May also be updated during the process to include assessment procedures and an explanation of how the assessment results were achieved<br>- Also referred to as the Security Assessment Plan and Procedures |
| **Authorization Decision Document** | - Conveys the final security authorization decision (i.e., ATO, DATO, IATT) from the authorizing official, any terms and conditions for authorization, and the authorization termination date if appropriate<br>- If the authorization decision document is classified, a memo may be provided in lieu of the decision document |
| **Documented evidence of correction** | - Examples stated: scan results, registry “dumps,” etc. |
| **Updated system inventory** | - Deliverable for decommissioning strategy execution |

### POA&M / remediation / corrective action handling

| Item | Explicitly stated handling details |
|---|---|
| **Task 5-1—Prepare the POA&M** | - Based on the findings and recommendations of the SAR, excluding any remediation actions taken<br>- SCA documents initial findings<br>- ISO completes POA&M; adds additional items; includes CCP, if finding is against a common control |
| **PM/ISO responsibilities for POA&M** | - Responsible for completing the POA&M fields, updating, and resolving POA&M items |
| **Task 4-4—Initial remedial actions** | - Conduct initial remedial actions on security controls based on the findings and recommendations of the SAR and reassess remediated control(s), as appropriate |
| **Task 6-3—Remediation actions** | - Conduct remediation actions based on the results of ongoing monitoring activities, assessment of risk, and outstanding items in the POA&M |
| **Task 6-4—Update artifacts based on monitoring** | - Update the SSP, SAR, and POA&M based on the results of the continuous monitoring process |
| **Security Assessment Report content** | - Issues, findings, recommendations from the security control assessment |
| **POA&M content** | - Weaknesses or deficiencies<br>- Plans of action and milestones related to correcting weaknesses or deficiencies<br>- Reducing or eliminating known vulnerabilities<br>- Completion dates |

### Security control selection / tailoring / overlays / documentation fields

| Item | Explicitly stated details |
|---|---|
| **Step 2 task 2-1** | - Identify the security controls provided by the organization as common controls for organizational IS and document the controls in the SSP |
| **Step 2 task 2-2** | - Select the security controls for the IS (baseline, overlays, tailored) and document the controls in the SSP |
| **Step 2 task 2-3** | - Develop a strategy for the continuous monitoring of security control effectiveness and any proposed or actual changes to the IS and its environment of operation |
| **Step 2 task 2-4** | - Review and approve the draft SSP by the AO or DAO |
| **SCTM fields/details explicitly stated** | - Lists all controls selected for the system<br>- Additional details on each control, e.g. implementation status, monitoring frequency, etc. |
| **Task 2-2 four-step process** | - Step 1: Select the initial baseline set of security controls specifying type: common, system-specific, or hybrid<br>- Step 2: Select and apply security control overlays<br>- Step 3: Tailor (in or out) the set of security controls<br>- Step 4: Supplement the tailored set of security controls |
| **Tailoring documentation requirement** | - Tailoring decisions, including the specific rationale (i.e., mapping to risk tolerance), are documented in the SSP for the information system |
| **Unimplemented selected control** | - If a selected control is not implemented, the rationale for not implementing the control must be documented in the SSP |
| **Overlay conflict handling** | - If use of multiple overlays results in conflicts between application or removal of security controls, the AO (or designee), in coordination with the information owner/steward, will resolve the conflict |
| **Overlay change documentation** | - If a control is added or removed by application of an overlay, the SSP should reflect the change with the justification being the application of the specific overlay(s) directing the change |
| **Final security controls** | - The final set of tailored and/or supplemented security controls must be submitted for approval to the respective AO prior to finalizing implementation |

### Tables and named frequencies / values preserved

| Table / named item | Explicitly stated fields / values |
|---|---|
| **Table 2: RMF Step 1 - Categorize IS** | - Task 1-1—Categorize the Information System and document the results in the SSP → Primary Responsibility: ISO or Information Owner/Steward → Deliverable(s): Draft SSP with System Categorization filled in<br>- Task 1-2—Describe the information system (including system boundary) and document the description in the SSP → Primary Responsibility: ISO → Deliverable(s): Updated SSP to include a description of the IS<br>- Task 1-3—Register the IS with the appropriate organizational program management offices → Primary Responsibility: ISO → Deliverable(s): Document or entry in the IT registry with the official system name, system owner, and categorization |
| **Table 3: Confidentiality Impact Level** | - Classification TS//SAR or S//SAR → Confidentiality Impact Level: Moderate<br>- Adjustment to Impact Level: Adjust to the High Confidentiality Impact Level if any user lacks either the required security clearance or the required citizenship (address with overlay) |
| **Table 4: System Integrity and Availability Categorization Example** | - Information Type A: Integrity L, Availability L<br>- Information Type B: Integrity H, Availability M<br>- Information Type C: Integrity M, Availability M<br>- Overall System Categorization per Objective: Integrity H, Availability M |
| **Table 5: RMF Step 2 - Select Security Controls** | - Task 2-1—Identify common controls → Primary Responsibility: CCP; ISO, ISSM/ISSO, ISSE, SCA → Deliverable(s): Document the common controls in the SSP/SCTM<br>- Task 2-2—Select the security controls for the IS (baseline, overlays, tailored) → Primary Responsibility: ISO; ISSE → Deliverable(s): Document the selected security controls in the SSP/SCTM, Draft RAR<br>- Task 2-3—Develop strategy for continuous monitoring → Primary Responsibility: ISO or CCP → Deliverable(s): Documented and approved Continuous Monitoring (ConMon) Plan/Strategy including frequency of monitoring for each control<br>- Task 2-4—Review and approve the draft SSP → Primary Responsibility: AO or DAO; ISSM/ISSO → Deliverable(s): Documented and approved Draft SSP/SCTM |
| **Table 6: Security Control Baseline Examples** | - Control IDs and titles shown include AC-1 Access Control Policy And Procedures; AC-2 Account Management; AC-2(1) Account Management; AC-2(2) Account Management; AC-2(3) Account Management; AC-2(4) Account Management; AC-2(5) Account Management; AC-2(6) Account Management; AC-2(7) Account Management; AC-2(8) Account Management; AC-2(9) Account Management; AC-2(10) Account Management; AC-2(11) Account Management; AC-2(12) Account Management; AC-2(13) Account Management; AC-3 Access Enforcement; AC-3(1) Access Enforcement; AC-3(2) Access Enforcement; AC-3(3) Access Enforcement; AC-3(4) Access Enforcement<br>- Symbols used: X, blank, -, +<br>- In JSIG October 9, 2013, each ‘X’ was replaced with ‘C’, ‘H’, or ‘S’ to provide tentative designation for enforcement/responsibility |
| **Table 7: RMF Step 3 - Implement Security Controls** | - Task 3-1—Implement the security controls specified in the SSP → Primary Responsibility: ISO or CCP<br>- Task 3-2—Document the security control implementation, as appropriate in the SSP, providing a functional description of the control implementation → Primary Responsibility: ISO or CCP; ISSM/ISSO; ISSE → Deliverable(s): Updated SSP with information describing how security controls are implemented |
| **Table 8: RMF Step 4 - Assess Security Controls** | - Task 4-1—Develop, review, and approve a plan to assess the security controls → Primary Responsibility: ISSM/ISSO; ISSE; SCA → Deliverable(s): Security Assessment Plan<br>- Task 4-2—Assess the security controls in accordance with the assessment procedures defined in the Security Assessment Plan → Primary Responsibility: SCA → Deliverable(s): Individual test results for each test or matrix for all tests<br>- Task 4-3—Prepare the SAR documenting the issues, findings, and recommendations from the security control assessment → Primary Responsibility: SCA → Deliverable(s): Security Assessment Report (SAR)<br>- Task 4-4—Conduct initial remedial actions on security controls based on the findings and recommendations of the SAR and reassess remediated control(s), as appropriate → Primary Responsibility: ISO or CCP; SCA; ISSM/ISSO → Deliverable(s): Updated Risk Assessment Report (RAR) |
| **Table 9: RMF Step 5 - Authorize Information System** | - Task 5-1—Prepare the POA&M based on the findings and recommendations of the SAR, excluding any remediation actions taken → Primary Responsibility: SCA (document initial findings); ISO (completes POA&M; adds additional items; includes CCP, if finding is against a common control) → Deliverable(s): POA&M<br>- Task 5-2—Assemble the Security Authorization Package to include artifacts and submit the package to the AO for adjudication → Primary Responsibility: ISO; ISSM/ISSO; SCA → Deliverable(s): Security Authorization Package; artifacts include: SSP/SCTM, SAR, POA&M, RAR, and ConMon Plan<br>- Task 5-3—Determine the risk to organizational operations (including mission, functions, image, or reputation), organizational assets, individuals, other organizations, or the Nation → Primary Responsibility: AO or DAO<br>- Task 5-4—Determine if risk to organizational operations, organizational assets, individuals, other organizations, or the Nation is acceptable → Primary Responsibility: AO → Deliverable(s): Authorization decision document (e.g. ATO, DATO, IATT) |
| **Step 5 DATO handling** | - If a Security Authorization Package is submitted with a request for ATO and the package is incomplete or unsatisfactory, the AO will not normally issue a DATO; the AO will more likely send the package back to the PM/ISO with instructions on why it was returned<br>- DATO is most frequently issued when a system was granted an ATO and the conditions under which the ATO was granted have deteriorated<br>- DATO may also be issued if the PM/ISO did not ensure the Security Authorization Package was submitted in a timely manner to allow the AO/SCA to review the package<br>- If submitted in a timely manner but AO/SCA not able to review before ATO expires, the AO will likely extend the existing ATO, e.g., for three (3) months, either via memo or verbally<br>- Send a follow-up email to the AO reiterating the extension for records or request a memo |
| **Table 10: RMF Step 6 - Monitor Security Controls** | - Task 6-1—Determine the security impact of proposed or actual changes to the IS and its environment of operation → Primary Responsibility: ISO or CCP; ISSO/ISSM → Deliverable(s): Change Request<br>- Task 6-2—Assess a selected subset of security controls employed within and inherited by the IS in accordance with the organization-defined monitoring strategy → Primary Responsibility: SCA; ISSO/ISSM → Deliverable(s): Periodic Continuous Monitoring Report<br>- Task 6-3—Conduct remediation actions based on the results of ongoing monitoring activities, assessment of risk, and outstanding items in the POA&M → Primary Responsibility: ISO or CCP; ISSM/ISSO → Deliverable(s): Documented evidence of correction such as scan results, registry “dumps,” etc.<br>- Task 6-4—Update the SSP, SAR, and POA&M based on the results of the continuous monitoring process → Primary Responsibility: ISO or CCP → Deliverable(s): SSP, SAR, RAR, and POA&M<br>- Task 6-5—Report the security status of the IS (including effectiveness of security controls employed within and inherited by the IS) to the AO and other appropriate organizational officials on an ongoing basis, in accordance with the Monitoring Strategy → Primary Responsibility: ISO or CCP → Deliverable(s): Periodic Continuous Monitoring Report<br>- Task 6-6—Review the reported security status of the IS on an ongoing basis in accordance with the monitoring strategy to determine whether the risk remains acceptable → Primary Responsibility: AO → Deliverable(s): ATO<br>- Task 6-7—Implement an IS Decommissioning Strategy, when needed, which executes required actions when a system is removed from service → Primary Responsibility: ISO → Deliverable(s): Updated system inventory |

### Explicit absence statements in the page
- No explicit RACI matrix labeled as such is provided.
- No explicit ticket template is provided.
- No explicit playbook template headings are provided.
- No explicit exception request form is provided.
- No explicit escalation workflow table is provided beyond the stated AO/DAO/SCA return, approval, extension, and conflict-resolution actions.
