URL: https://www.fedramp.gov/resources/templates/SSP-Appendix-A-High-FedRAMP-Security-Controls.docx
TITLE: [DOC] SSP-Appendix-A-High-FedRAMP-Security-Controls.docx
ERROR: None

| Control ID | Documented concrete cadence / timeline / retention period | Exact quoted text |
| IR-6(a) | US-CERT incident reporting timelines as specified in NIST SP 800-61 | `within [FedRAMP Assignment: US-CERT incident reporting timelines as specified in NIST Special Publication 800-61 (as amended)]` |
| IR-8(a)(9) | At least annually | `Is reviewed and approved by [Assignment: organization-defined personnel or roles] [FedRAMP Assignment: at least annually];` |
| IR-9(2) | At least annually | `Provide information spillage response training [FedRAMP Assignment: at least annually].` |
| MA-3(b) | At least annually | `Review previously approved system maintenance tools [FedRAMP Assignment: at least annually].` |
| MP-6(2) | At least every six (6) months | `Test sanitization equipment and procedures [FedRAMP Assignment: at least every six (6) months]` |
| PE-2(c) | At least every ninety (90) days | `Review the access list detailing authorized facility access by individuals [FedRAMP Assignment: at least every ninety (90) days];` |
| PE-3(f) | At least annually | `Inventory [Assignment: organization-defined physical access devices] every [FedRAMP Assignment: at least annually];` |
| PE-3(g) | At least annually or earlier as required by a security relevant event | `Change combinations and keys [FedRAMP Assignment: at least annually or earlier as required by a security relevant event.]` |
| PE-6(b) | At least monthly | `Review physical access logs [FedRAMP Assignment: at least monthly]` |
| PE-8(a) | Minimum of one (1) year | `Maintain visitor access records to the facility where the system resides for [FedRAMP Assignment: for a minimum of one (1) year];` |
| PE-8(b) | At least monthly | `Review visitor access records [FedRAMP Assignment: at least monthly];` |
| PL-2(c) | At least annually | `Review the plans [FedRAMP Assignment: at least annually];` |
| PL-4(c) | At least annually | `Review and update the rules of behavior [FedRAMP Assignment: at least annually];` |
| PL-4(d) | At least annually and when revised or changed | `Require individuals ... to read and re-acknowledge [FedRAMP Assignment: at least annually and when the rules are revised or changed].` |
| PL-8(b) | At least annually and when a significant change occurs | `Review and update the architectures [FedRAMP Assignment: at least annually and when a significant change occurs]` |
| PS-2(c) | At least annually | `Review and update position risk designations [FedRAMP Assignment: at least annually].` |
| PS-3(b) | Fifth year for top secret; tenth year for secret; fifteenth year for confidential; fifth year for moderate risk law enforcement and high impact public trust; no reinvestigation for other moderate risk or low risk positions | `a reinvestigation is required during the fifth (5th) year for top secret security clearance, the tenth (10th) year for secret security clearance, and fifteenth (15th) year for confidential security clearance. For moderate risk law enforcement and high impact public trust level, a reinvestigation is required during the fifth (5th) year. There is no reinvestigation for other moderate risk positions or any low risk positions` |
| PS-4(a) | One (1) hour | `Disable system access within [FedRAMP Assignment: one (1) hour];` |
| PS-5(b) | Within twenty-four (24) hours | `Initiate [Assignment: organization-defined transfer or reassignment actions] within [FedRAMP Assignment: twenty-four (24) hours];` |
| PS-5(d) | Within twenty-four (24) hours | `Notify [FedRAMP Assignment: including access control personnel responsible for the system] within [FedRAMP Assignment: twenty-four (24) hours].` |
| PS-6(b) | At least annually | `Review and update the access agreements [FedRAMP Assignment: at least annually];` |
| PS-6(c)(2) | At least annually and any time there is a change to the user's level of access | `Re-sign access agreements ... when access agreements have been updated or [FedRAMP Assignment: at least annually and any time there is a change to the user's level of access].` |
| PS-7(d) | Terminations: immediately; transfers: within twenty-four (24) hours | `notify [FedRAMP Assignment: including access control personnel responsible for the system and/or facilities, as appropriate] ... [FedRAMP Assignment: terminations: immediately; transfers: within twenty-four (24) hours]` |
| PS-8(b) | Twenty-four (24) hours | `Notify [FedRAMP Assignment: to include the ISSO and/or similar role within the organization] within [FedRAMP Assignment: Twenty-four (24) hours] when a formal employee sanctions process is initiated` |
| RA-3(d) | At least annually and whenever a significant change occurs | `Review risk assessment results [FedRAMP Assignment: at least annually and whenever a significant change occurs];` |
| RA-3(f) | Annually | `Update the risk assessment [FedRAMP Assignment: annually] or when there are significant changes...` |
| RA-5(a) | Monthly OS/infrastructure; monthly web applications (including APIs) and databases | `Monitor and scan for vulnerabilities in the system and hosted applications [FedRAMP Assignment: monthly operating system/infrastructure; monthly web applications (including APIs) and databases]` |
| RA-5(d) | High-risk within 30 days; moderate-risk within 90 days; low-risk within 180 days | `Remediate legitimate vulnerabilities [FedRAMP Assignment: high-risk vulnerabilities mitigated within thirty (30) days from date of discovery; moderate-risk vulnerabilities mitigated within ninety (90) days from date of discovery; low risk vulnerabilities mitigated within one hundred and eighty (180) days from date of discovery]` |
| RA-5(a) requirement | Once annually by accredited independent assessor | `an accredited independent assessor scans operating systems/infrastructure, web applications, and databases once annually.` |
| RA-5(2) | Within twenty-four (24) hours prior to running scans | `Update the system vulnerabilities to be scanned [FedRAMP Assignment: within twenty-four (24) hours prior to running scans].` |
| RA-5(8) | Requirement applies to all high (or critical) vulnerability scan findings | `This enhancement is required for all high (or critical) vulnerability scan findings.` |
| SA-10(a) | Development, implementation, and operation | `Perform configuration management during system, component, or service [FedRAMP Assignment: development, implementation, AND operation];` |
| SA-15(b) | Frequency as before first use and annually thereafter | `Review the development process, standards, tools, tool options, and tool configurations [FedRAMP Assignment: frequency as before first use and annually thereafter]` |
| SA-22 | No cadence/timeline stated | No explicit frequency stated. |
| SC-7(4)(e) | At least every ninety (90) days or whenever there is a change in the threat environment that warrants review | `Review exceptions to the traffic flow policy [FedRAMP Assignment: at least every ninety (90) days or whenever there is a change in the threat environment that warrants a review of the exceptions]` |
| SC-8 | No cadence/timeline stated | No explicit frequency stated. |
| SC-10 | No longer than ten (10) minutes for privileged sessions; no longer than fifteen (15) minutes for user sessions | `after [FedRAMP Assignment: no longer than ten (10) minutes for privileged sessions and no longer than fifteen (15) minutes for user sessions] of inactivity.` |
| SC-20 | No cadence/timeline stated | No explicit frequency stated. |
| SC-21 | No cadence/timeline stated | No explicit frequency stated. |
| SC-45(1)(a) | At least hourly | `Compare the internal system clocks [FedRAMP Assignment: At least hourly] with [FedRAMP Assignment: <http://tf.nist.gov/tf-cgi/servers.cgi>];` |
| SI-2(c) | Within thirty (30) days of release of updates | `Install security-relevant software and firmware updates within [FedRAMP Assignment: within thirty (30) days of release of updates] of the release of the updates;` |
| SI-2(2) | At least monthly | `Determine if system components have applicable security-relevant software and firmware updates installed ... [FedRAMP Assignment: at least monthly]` |
| SI-3(c)(1) | At least weekly | `Perform periodic scans of the system [FedRAMP Assignment: at least weekly]` |
| SI-3(c)(1) | Real-time scans of files from external sources as downloaded/opened/executed | `real-time scans of files from external sources at [FedRAMP Assignment: to include endpoints and network entry and exit points] as the files are downloaded, opened, or executed` |
| SI-4(4)(b) | Continuously | `Monitor inbound and outbound communications traffic [FedRAMP Assignment: continuously]` |
| SI-4(g) | Organization-defined frequency | `Provide [Assignment: organization-defined system monitoring information] ... [Selection (one-or-more): as needed; [Assignment: organization-defined frequency]]` |
| SI-4(5) | No cadence/timeline stated | No explicit frequency stated. |
| SI-6(b) | System transitional states; at startup/restart; upon command by privileged user; at least monthly | `Perform the verification of the functions specified in SI-6a [FedRAMP Assignment: system transitional states to include upon system startup and/or restart; upon command by user with appropriate privilege]; [FedRAMP Assignment: at least monthly];` |
| SI-7(1) | At startup; at security-relevant events; at least monthly | `Perform an integrity check ... [Selection (one-or-more): at startup; at [FedRAMP Assignment: selection to include security relevant events]; [FedRAMP Assignment: at least monthly]]` |
| SI-8(2) | Organization-defined frequency | `Automatically update spam protection mechanisms [Assignment: organization-defined frequency].` |
| SR-2(b) | At least annually or as required to address threat, organizational, or environmental changes | `Review and update the supply chain risk management plan [FedRAMP Assignment: at least annually] or as required to address threat, organizational, or environmental changes;` |
| SR-6 | At least annually | `Assess and review the supply chain-related risks associated with suppliers or contractors and the system, system component, or system service they provide [FedRAMP Assignment: at least annually].` |
| AU-6 / AU-11 log retention | AU-11: retain audit records online at least 90 days; offline per NARA; AU-6: review weekly | See rows above. |
| CM inventory/change reviews | CM-8 monthly; CM-3 review/oversight is organization-defined; CM-5(5) quarterly; CM-2 annual/significant change | See rows above. |
| MA maintenance | MA-3 annually; MA-6 timeframe to support advertised uptime and availability; MA-2 no explicit cadence | See rows above. |

| Requested item | Documented concrete cadence / timeline / retention period | Exact quoted text |
|---|---|---|
| AU-6/AU-11 logs review and retention | AU-6 weekly; AU-11 online 90 days and offline per NARA | `Review and analyze system audit records [FedRAMP Assignment: at least weekly]` / `The service provider retains audit records online for at least ninety (90) days and further preserves audit records off-line for a period that is in accordance with NARA requirements.` |
| AC-2 account review, disablement, temporary accounts | Account review monthly privileged / every 6 months non-privileged; user accounts disabled within 24 hours; temporary/emergency accounts disabled within 24 hours of last use | See rows above. |
| IA authenticators / certificates | IA-4 identifier reuse 2 years; IA-5 refresh by auth type or events; IA-5(1) password list update frequency organization-defined; IA-11 12 hours or 15 minutes inactivity at AAL3; certificates in IA-5(2) validated against trust anchor and revocation cache; SC-17 issues PKI certs | See rows above. |
| CP-4 contingency plan test, CP-9 backup testing | CP-4 annually; CP-9(1) monthly; CP-9 daily incremental / weekly full | See rows above. |
| IR-3 incident response testing/training | IR-3 every 6 months incl. functional annually; IR-2 training 10 days privileged users / 30 days IR roles, annually thereafter; IR-9(2) annually | See rows above. |
| PE-2/PE-3 physical access reviews | PE-2 every 90 days; PE-3 access device inventory annually; key/combo changes annually or earlier on security event; PE-6 logs monthly; PE-8 visitor records 1 year and monthly review | See rows above. |
| SI-2/SI-3 vulnerability/malware | SI-2 patches within 30 days of release; SI-2(2) monthly update-status checks; SI-3 weekly scans and real-time external-source scans; RA-5 monthly vuln scans and remediation 30/90/180 days | See rows above. |
| CM inventory/change reviews | CM-8 monthly; CM-7(1) annually; CM-5(5) quarterly; CM-3 records retained organization-defined time period; CM-2 annually and on significant change | See rows above. |
| MA maintenance | MA-3 annual review of tools; MA-6 timeframe to support advertised uptime and availability; MA-2 no cadence stated; MP-6(2) every 6 months equipment testing | See rows above. |
