URL: https://www.fedramp.gov/resources/templates/SSP-Appendix-A-Low-FedRAMP-Security-Controls.docx
TITLE: SSP-Appendix-A-Low-FedRAMP-Security-Controls. ...
ERROR: None

| Topic | Control ID | Exact frequency / timeline / retention period | Closely quoted source text | Notes / absence |
| Contingency plan testing | CP-4 | **“at least every 3 years”** | “Test the contingency plan for the system **[FedRAMP Assignment: at least every 3 years]** using the following tests … **[FedRAMP Assignment: classroom exercise/tabletop written tests]**.” | Explicit FedRAMP frequency and test types. |
| Backup cadence – user-level info | CP-9 | **“daily incremental; weekly full”** | “Conduct backups of user-level information contained in [Assignment: organization-defined system components] **[FedRAMP Assignment: daily incremental; weekly full]**;” | Explicit FedRAMP cadence. |
| Backup cadence – system-level info | CP-9 | **“daily incremental; weekly full”** | “Conduct backups of system-level information contained in the system **[FedRAMP Assignment: daily incremental; weekly full]**;” | Explicit FedRAMP cadence. |
| Backup cadence – system documentation | CP-9 | **“daily incremental; weekly full”** | “Conduct backups of system documentation, including security- and privacy-related documentation **[FedRAMP Assignment: daily incremental; weekly full]**;” | Explicit FedRAMP cadence. |
| Recovery and reconstitution | CP-10 | **organization-defined time period consistent with RTO/RPO** | “Provide for the recovery and reconstitution of the system to a known state within **[Assignment: organization-defined time period consistent with recovery time and recovery point objectives]** after a disruption, compromise, or failure.” | Source leaves timeline organization-defined. |
| Incident response training after assuming role | IR-2 | **“ten (10) days for privileged users, thirty (30) days for Incident Response roles”**; and **“at least annually”** | “Within **[FedRAMP Assignment: ten (10) days for privileged users, thirty (30) days for Incident Response roles]** of assuming an incident response role or responsibility or acquiring system access;”<br>“3. **[FedRAMP Assignment: at least annually]** thereafter;” | Explicit FedRAMP timelines. |
| Incident response training content update | IR-2 | **“at least annually”** | “Review and update incident response training content **[FedRAMP Assignment: at least annually]** and following [Assignment: organization-defined events].” | Explicit FedRAMP frequency. |
| Incident reporting timeline | IR-6 | **US-CERT incident reporting timelines as specified in NIST SP 800-61** | “Require personnel to report suspected incidents to the organizational incident response capability within **[FedRAMP Assignment: US-CERT incident reporting timelines as specified in NIST Special Publication 800-61 (as amended)]**;” | The page does not list the exact number of hours/days; it points to NIST SP 800-61 timelines. |
| Physical access authorizations review | PE-2 | **“at least annually”** | “Review the access list detailing authorized facility access by individuals **[FedRAMP Assignment: at least annually]**;” | Explicit FedRAMP frequency. |
| Physical access control inventory / combinations & keys | PE-3 | **“at least annually”** | “f. **Inventory [FedRAMP Assignment: at least annually] every [Assignment: organization-defined frequency];** and”<br>“g. **Change combinations and keys [FedRAMP Assignment: at least annually]** and/or when keys are lost, combinations are compromised, or when individuals possessing the keys or combinations are transferred or terminated.” | PE-3(f) contains both a FedRAMP-assigned annual inventory and an additional organization-defined frequency placeholder. |
| Physical access logs review | PE-6 | **“at least monthly”** | “Review physical access logs **[FedRAMP Assignment: at least monthly]** and upon occurrence of [Assignment: organization-defined events or potential indications of events];” | Explicit FedRAMP frequency. |
| Visitor access records retention | PE-8 | **“for a minimum of one (1) year”** | “Maintain visitor access records to the facility where the system resides for **[FedRAMP Assignment: for a minimum of one (1) year]**;” | Explicit retention period. |
| Visitor access records review | PE-8 | **“at least monthly”** | “Review visitor access records **[FedRAMP Assignment: at least monthly]**;” | Explicit FedRAMP frequency. |
| Environmental controls monitoring | PE-14 | **“continuously”** | “Monitor environmental control levels **[FedRAMP Assignment: continuously]**.” | Explicit FedRAMP cadence. |
| Personnel security position risk designation review | PS-2 | **“at least every three years”** | “Review and update position risk designations **[FedRAMP Assignment: at least every three years]**.” | Explicit FedRAMP frequency. |
| Personnel screening re-investigation | PS-3 | **5th year / 10th year / 15th year / no reinvestigation for others** | “Rescreen individuals in accordance with **[FedRAMP Assignment: for national security clearances; a reinvestigation is required during the fifth (5th) year for top secret security clearance, the tenth (10th) year for secret security clearance, and fifteenth (15th) year for confidential security clearance. For moderate risk law enforcement and high impact public trust level, a reinvestigation is required during the fifth (5th) year. There is no reinvestigation for other moderate risk positions or any low-risk positions]**.” | Concrete timelines are embedded in the FedRAMP assignment text. |
| Personnel termination access disablement | PS-4 | **“within four (4) hours”** | “Upon termination of individual employment: **a. Disable system access within [FedRAMP Assignment: four (4) hours];**” | Explicit FedRAMP timeline. |
| Personnel transfer initiation | PS-5 | **“within twenty-four (24) hours”** | “Initiate [Assignment: organization-defined transfer or reassignment actions] within **[FedRAMP Assignment: twenty-four (24) hours]**;” | Explicit FedRAMP timeline. |
| Personnel transfer notification | PS-5 | **“within twenty-four (24) hours”** | “Notify [Assignment: organization-defined personnel or roles] within **[FedRAMP Assignment: twenty-four (24) hours]**.” | Explicit FedRAMP timeline. |
| Access agreements review/update | PS-6 | **“at least annually”** | “Review and update the access agreements **[FedRAMP Assignment: at least annually]**;” | Explicit FedRAMP frequency. |
| Access agreement re-sign | PS-6 | **“at least annually and any time there is a change to the user's level of access”** | “Re-sign access agreements to maintain access to organizational systems when access agreements have been updated or **[FedRAMP Assignment: at least annually and any time there is a change to the user's level of access]**.” | Explicit cadence and triggering condition. |
| External personnel transfer/termination notice | PS-7 | **“within twenty-four (24) hours”** | “Require external providers to notify [FedRAMP Assignment: including access control personnel responsible for the system and/or facilities, as appropriate] of any personnel transfers or terminations of external personnel who possess organizational credentials and/or badges, or who have system privileges within **[FedRAMP Assignment: within twenty-four (24) hours]**;” | Explicit FedRAMP timeline. |
| Account/account-holder sanctions notice | PS-8 | **organization-defined time period** | “Notify [FedRAMP Assignment: at a minimum, the ISSO and/or similar role within the organization] within **[Assignment: organization-defined time period]** when a formal employee sanctions process is initiated…” | Source leaves timeframe organization-defined. |
| Baseline configuration review/update | CM-2 | **“at least annually and when a significant change occurs”** | “Review and update the baseline configuration of the system: **1. [FedRAMP Assignment: at least annually and when a significant change occurs];**” | Explicit FedRAMP cadence. |
| Configuration settings selection/changes monitoring | CM-6 | **No concrete frequency stated** | “Monitor and control changes to the configuration settings in accordance with organizational policies and procedures.” | No explicit cadence on page. |
| System component inventory review/update | CM-8 | **“at least monthly”** | “Review and update the system component inventory **[FedRAMP Assignment: at least monthly]**.” | Explicit FedRAMP frequency. |
| System component inventory delivery | CM-8 | **“at least monthly or when there is a change”** | “**Requirement:** must be provided at least monthly or when there is a change.” | Extra guidance gives a concrete cadence. |
| Policy review/update — configuration management | CM-1 | **“at least every 3 years”** / **“at least annually”** | “Policy **[FedRAMP Assignment: at least every 3 years]**…” and “Procedures **[FedRAMP Assignment: at least annually]**…” | Administrative policy frequency. |
| Vulnerability scanning cadence | RA-5 | **“monthly operating system/infrastructure; monthly web applications (including APIs) and databases”** | “Monitor and scan for vulnerabilities in the system and hosted applications **[FedRAMP Assignment: monthly operating system/infrastructure; monthly web applications (including APIs) and databases]** and when new vulnerabilities potentially affecting the system are identified and reported;” | Explicit FedRAMP cadence. |
| Vulnerability remediation – high risk | RA-5 | **“within thirty (30) days from date of discovery”** | “Remediate legitimate vulnerabilities **[FedRAMP Assignment: high-risk vulnerabilities mitigated within thirty (30) days from date of discovery;** moderate-risk vulnerabilities mitigated within ninety (90) days from date of discovery; low risk vulnerabilities mitigated within one hundred and eighty (180) days from date of discovery]” | Explicit FedRAMP timeline. |
| Vulnerability remediation – moderate risk | RA-5 | **“within ninety (90) days from date of discovery”** | Same quoted passage as above. | Explicit FedRAMP timeline. |
| Vulnerability remediation – low risk | RA-5 | **“within one hundred and eighty (180) days from date of discovery”** | Same quoted passage as above. | Explicit FedRAMP timeline. |
| Vulnerability scan by independent assessor | RA-5 | **“once annually”** | “**(a) Requirement:** An accredited independent assessor scans operating systems/infrastructure, web applications, and databases **once annually**.” | Explicit cadence in additional guidance. |
| Update vulnerabilities to be scanned | RA-5(2) | **“prior to a new scan”** | “Update the system vulnerabilities to be scanned **[FedRAMP Assignment: prior to a new scan]**.” | Explicit FedRAMP timing. |
| Risk assessment review | RA-3 | **“at least every three (3) years and when a significant change occurs”** | “Review risk assessment results **[FedRAMP Assignment: at least every three (3) years and when a significant change occurs]**;” | Explicit FedRAMP cadence. |
| Risk assessment update | RA-3 | **“at least every three (3) years”** | “Update the risk assessment **[FedRAMP Assignment: at least every three (3) years]** or when there are significant changes…” | Explicit FedRAMP cadence. |
| Supply chain risk assessment update | RA-3(1) | **organization-defined frequency** | “Update the supply chain risk assessment **[Assignment: organization-defined frequency]**, when there are significant changes to the relevant supply chain…” | Source leaves frequency organization-defined. |
| POA&M update | CA-5 | **“at least monthly”** | “Update existing plan of action and milestones **[FedRAMP Assignment: at least monthly]** based on the findings from control assessments, independent audits or reviews, and continuous monitoring activities.” | Explicit FedRAMP frequency. |
| POA&M submission | CA-5 | **“at least monthly”** | “**Requirement:** POA&Ms must be provided at least monthly.” | Explicit requirement. |
| Control assessments | CA-2 | **“at least annually”** | “Assess the controls in the system and its environment of operation **[FedRAMP Assignment: at least annually]**…” | Explicit FedRAMP frequency. |
| Continuous monitoring strategy metrics/frequencies | CA-7 | **organization-defined frequencies** | “Establishing **[Assignment: organization-defined frequencies]** for monitoring and **[Assignment: organization-defined frequencies]** for assessment of control effectiveness;” | Source leaves frequencies organization-defined. |
| Reporting security/privacy status | CA-7 | **organization-defined frequency** | “Reporting the security and privacy status of the system to [Assignment: Organization-defined personnel or role] **[Assignment: organization-defined frequency]**.” | Source leaves frequency organization-defined. |
| Operating system/database/web app/container/service config scans | CA-7 | **“at least monthly”** | “**Requirement:** Operating System, Database, Web Application, Container, and Service Configuration Scans: **at least monthly**. All scans performed by Independent Assessor: **at least annually**.” | Explicit guidance. |
| Independent assessor scans | CA-7 | **“at least annually”** | Same quoted requirement as above. | Explicit guidance. |
| Rules of behavior review/update | PL-4 | **“at least every 3 years”** | “Review and update the rules of behavior **[FedRAMP Assignment: at least every 3 years]**;” | Explicit FedRAMP frequency. |
| Rules of behavior re-acknowledgment | PL-4 | **“at least annually and when the rules are revised or changed”** | “Require individuals who have acknowledged a previous version of the rules of behavior to read and re-acknowledge **[FedRAMP Assignment: at least annually and when the rules are revised or changed]**.” | Explicit cadence and trigger. |
| Security/privacy plan review | PL-2 | **“at least annually”** | “Review the plans **[FedRAMP Assignment: at least annually]**;” | Explicit FedRAMP frequency. |
| Security/privacy architecture review/update | PL-8 | **“at least annually and when a significant change occurs”** | “Review and update the architectures **[FedRAMP Assignment: at least annually and when a significant change occurs]** to reflect changes in the enterprise architecture;” | Explicit FedRAMP cadence. |
| Policy review/update — identification & authentication | IA-1 | **“at least every 3 years”** / **“at least annually”** | “Policy **[FedRAMP Assignment: at least every 3 years]**…” and “Procedures **[FedRAMP Assignment: at least annually]**…” | Administrative policy frequency. |
| Policy review/update — incident response | IR-1 | **“at least every 3 years”** / **“at least annually”** | “Policy **[FedRAMP Assignment: at least every 3 years]**…” and “Procedures **[FedRAMP Assignment: at least annually]**…” | Administrative policy frequency. |
| Policy review/update — maintenance | MA-1 | **“at least every 3 years”** / **“at least annually”** | “Policy **[FedRAMP Assignment: at least every 3 years]**…” and “Procedures **[FedRAMP Assignment: at least annually]**…” | Administrative policy frequency. |
| Controlled maintenance records / checks | MA-2 | **No explicit cadence stated** | “Schedule, document, and review records of maintenance, repair, and replacement…” and “Check all potentially impacted controls…” | No concrete frequency beyond “schedule.” |
| Nonlocal maintenance | MA-4 | **No explicit cadence stated** | “Approve and monitor nonlocal maintenance and diagnostic activities;” | No explicit frequency. |
| Maintenance personnel authorization list | MA-5 | **No explicit cadence stated** | “Establish a process for maintenance personnel authorization and maintain a list…” | No explicit frequency. |
| Publicly accessible content review | AC-22 | **“at least quarterly”** | “Review the content on the publicly accessible system for nonpublic information **[FedRAMP Assignment: at least quarterly]** and remove such information, if discovered.” | Explicit FedRAMP frequency. |
| AU-2 event log review/update | AU-2 | **“annually and whenever there is a change in the threat environment”** | “Review and update the event types selected for logging **[FedRAMP Assignment: annually and whenever there is a change in the threat environment]**.” | Explicit cadence and trigger. |
| AU-2 event types | AU-2 | **organization-defined subset** | “Specify the following event types for logging within the system: **[FedRAMP Assignment: organization-defined subset of the auditable events defined in AU-2a to be audited continually for each identified event.]**” | Source leaves exact subset organization-defined. |
| AU-5 alerting after logging failure | AU-5 | **organization-defined time period** | “Alert [Assignment: organization-defined personnel or roles] within **[Assignment: organization-defined time period]** in the event of an audit logging process failure;” | Source leaves timeframe organization-defined. |
| Physical access controls inventory frequency | PE-3 | **organization-defined frequency** plus annual requirement | “Inventory **[FedRAMP Assignment: at least annually] every [Assignment: organization-defined frequency];**” | Contains both FedRAMP annual and organization-defined frequency. |
| Notification banner/display before access | AC-8 | **see additional requirements/guidance** | “Display **[FedRAMP Assignment: see additional Requirements and Guidance]** to users before granting access…” and “Display system use information **[FedRAMP Assignment: see additional Requirements and Guidance]**, before granting further access…” | No concrete frequency; not a recurring cadence. |
| IA-11 re-authentication fixed time period | IA-11 | **“cannot exceed the limits set in SP 800-63”**; AAL1 example: **“30 days of extended session”** and **“No limit on inactivity”** | “The fixed time period cannot exceed the limits set in SP 800-63. At this time, they are: - AAL1 (low baseline) - **30 days of extended session** - **No limit on inactivity**.” | This is guidance/example, not a universal FedRAMP requirement. |
| CM-11 policy compliance monitoring | CM-11 | **“Continuously (via CM-7 (5))”** | “Monitor policy compliance **[FedRAMP Assignment: Continuously (via CM-7 (5))]**.” | Explicit FedRAMP cadence. |
| CM-2 baseline review trigger | CM-2 | **“when a significant change occurs”** | “Review and update the baseline configuration of the system: 1. [FedRAMP Assignment: at least annually and when a significant change occurs];” | Explicit trigger. |
| CM-6 compliance checks during continuous monitoring | CM-6 | **monthly continuous monitoring** | “During monthly continuous monitoring, new findings from CSP compliance checks may be combined into a single CM-6 POA&M item.” | This states monthly continuous monitoring, but not a CM-6 review frequency per se. |
| AC-2 temporary/shared account authenticator change | AC-2 | **when individuals are removed from the group** | “Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group;” | Condition-based, not a periodic cadence. |
| PE-3 key/combinations change | PE-3 | **“at least annually and/or when keys are lost, combinations are compromised, or when individuals possessing the keys or combinations are transferred or terminated”** | “Change combinations and keys **[FedRAMP Assignment: at least annually]** and/or when keys are lost, combinations are compromised, or when individuals possessing the keys or combinations are transferred or terminated.” | Explicit annual plus event-based trigger. |
| AU-11 references to M-21-31 | AU-11 | **M-21-31; online at least ninety days; offline per NARA requirements** | “Retain audit records for **[FedRAMP Assignment: a time period in compliance with M-21-31]**…” and “retains audit records on-line for **at least ninety days** … off-line for a period that is in accordance with NARA requirements.” | Included because the control text explicitly references retention periods. |
| Missing/absent items requested | AC-2 temporary accounts; IA authenticators/certificates; CP-9 backup testing; IR-3 testing/training; SI-2/SI-3 vulnerability/malware; CM inventory/change reviews; MA maintenance | Not explicitly present as requested control IDs/frequencies | The provided page does **not** include IR-3, nor explicit CP-9 “testing” language, nor a distinct “certificate” cadence, nor a separate SI-2 malware/vulnerability testing frequency beyond the remediation/update requirement, nor a distinct CM “change review” frequency beyond CM-2/CM-6/CM-8, nor a separate MA testing cadence. | Extracted only what is explicitly on the page. |
