URL: https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-53Ar5.pdf
TITLE: Assessing Security and Privacy Controls in Information ...
ERROR: None

| Category | Extracted information |
| analysis tools and associated outputs | potential assessment object for CM-04 |
| system security plan | potential assessment object for CM-04, CM-02, MP-07, AC-17, AC-17(01), CA-03 |
| privacy plan | potential assessment object for CM-04, CM-02, CA-03 |
| access control policy | potential assessment object for AC-17, AC-17(01), CA-03 |
| configuration management policy | potential assessment object for CM-04, CM-02 |
| procedures addressing remote access implementation and usage, including restrictions | potential assessment object for AC-17 |
| procedures addressing security impact analyses for changes to the system | potential assessment object for CM-04 |
| procedures addressing privacy impact analyses for changes to the system | potential assessment object for CM-04 |
| procedures addressing the baseline configuration of the system | potential assessment object for CM-02 |
| procedures addressing media usage restrictions | potential assessment object for MP-07 |
| rules of behavior | potential assessment object for MP-07 |
| enterprise architecture documentation | potential assessment object for CM-02 |
| system architecture and configuration documentation | potential assessment object for CM-02 |
| system component inventory | potential assessment object for CM-02 |
| remote access authorizations | potential assessment object for AC-17 |
| system audit records | potential assessment object for AC-17, CM-04, CM-02, AC-17(01) |
| system monitoring records | potential assessment object for AC-17(01) |
| system interconnection security agreements | potential assessment object for CA-03 |
| information exchange security agreements | potential assessment object for CA-03 |
| memoranda of understanding or agreements | potential assessment object for CA-03 |
| service level agreements | potential assessment object for CA-03 |
| non-disclosure agreements | potential assessment object for CA-03 |
| privacy impact assessment | potential assessment object for CM-04 |
| privacy risk assessment documentation | potential assessment object for CM-04 |
| change control board or similar | personnel group for interview for CM-04 |

### Recurring assessment methods, object types, and template headings

| Heading / template field | Explicit content |
|---|---|
| Assessment procedure structure | assessment objective; potential assessment methods and objects; determine if statements; Examine / Interview / Test methods |
| Assessment objects | specifications; mechanisms; activities; individuals |
| Assessment methods | examine; interview; test |
| Examine method | reviewing, inspecting, observing, studying, or analyzing one or more assessment objects to facilitate assessor understanding, achieve clarification, or obtain evidence |
| Interview method | holding discussions with individuals or groups of individuals within an organization to facilitate assessor understanding, achieve clarification, or obtain evidence |
| Test method | exercising one or more assessment objects under specified conditions to compare the actual state of the object to the desired state or expected behavior of the object |
| Depth attribute values | basic; focused; comprehensive |
| Coverage attribute values | basic; focused; comprehensive |
| ODP numbering convention | “XX-nn_ODP”; if more than one ODP for the assessment procedure, “_ODP” is followed by square-bracketed sequential numbers starting from “01” |
| ODP reference style | unique identifier and phrase “<... SELECTED PARAMETER VALUE(S)>” surrounded by < > |
| Assignment operations | organization defines a value such as frequency, circumstances, personnel, or roles |
| Selection operations | organization selects one or more options provided in the ODP |
| Enhancement numbering | sequential parenthetical numbers such as AC-17(01); assessment objectives numbered sequentially with bracketed numbers for further granularity |

### Assessment plan / control assessment content and fields captured

| Field / content | Explicit content |
|---|---|
| Assessment objective | determines whether control requirements are satisfied |
| Assessment findings | used to help determine overall effectiveness of the control and to help authorizing official make informed risk-based decision |
| Traceability | determination statements are linked to content of control to ensure traceability back to fundamental control requirements |
| Control granularization example | AC-17a.[01], AC-17a.[02], AC-17a.[03], AC-17b; CM-04[01], CM-04[02] |
| Organization-defined parameters in assessment procedures | defined first and separately from control-item determination statements |
| Use of controls in assessment planning | organization determines assessment methods needed to provide level of assurance required |
| Risk basis | privacy risk assessment or security categorization primarily determines level of effort, depth, and coverage |
| Assessment plan specifies | level of rigor for documentation review; number of similar assessment objects to test |

### Specific control examples and their template headings

| Control / heading | Explicit assessment objectives and related fields |
|---|---|
| AC-17 Remote Access | AC-17a.[01] usage restrictions are established and documented for each type of remote access allowed; AC-17a.[02] configuration/connection requirements are established and documented for each type of remote access allowed; AC-17a.[03] implementation guidance is established and documented for each type of remote access allowed; AC-17b. each type of remote access to the system is authorized prior to allowing such connections |
| AC-17 potential methods/objects | Examine: access control policy; procedures addressing remote access implementation and usage, including restrictions; configuration management plan; system configuration settings and associated documentation; remote access authorizations; system audit records; system security plan; other relevant documents or records. Interview: organizational personnel with responsibilities for managing remote access connections; system/network administrators; organizational personnel with information security responsibilities. Test: remote access management capability for the system |
| CM-04 Impact Analyses | CM-04[01] changes to the system are analyzed to determine potential security impacts prior to change implementation; CM-04[02] changes to the system are analyzed to determine potential privacy impacts prior to change implementation |
| CM-04 potential methods/objects | Examine: configuration management policy; procedures addressing security impact analyses for changes to the system; procedures addressing privacy impact analyses for changes to the system; configuration management plan; security impact analysis documentation; privacy impact analysis documentation; privacy impact assessment; privacy risk assessment documentation; system design documentation; analysis tools and associated outputs; change control records; system audit records; system security plan; privacy plan; other relevant documents or records. Interview: organizational personnel with responsibility for conducting security impact analyses; organizational personnel with responsibility for conducting privacy impact analyses; organizational personnel with information security and privacy responsibilities; system developer; system/network administrators; members of change control board or similar. Test: organizational processes for security impact analyses; organizational processes for privacy impact analyses |
| CM-02 Baseline Configuration | CM-02_ODP[01] the frequency of baseline configuration review and update is defined; CM-02_ODP[02] the circumstances requiring baseline configuration review and update are defined; CM-02a.[01] a current baseline configuration of the system is developed and documented; CM-02a.[02] a current baseline configuration of the system is maintained under configuration control; CM-02b.01 the baseline configuration of the system is reviewed and updated <CM-02_ODP[01] frequency>; CM-02b.02 the baseline configuration of the system is reviewed and updated when required due to <CM-02_ODP[02] circumstances>; CM-02b.03 the baseline configuration of the system is reviewed and updated when system components are installed or upgraded |
| CM-02 potential methods/objects | Examine: configuration management policy; procedures addressing the baseline configuration of the system; configuration management plan; enterprise architecture documentation; system design documentation; system security plan; privacy plan; system architecture and configuration documentation; system configuration settings and associated documentation; system component inventory; change control records; other relevant documents or records. Interview: organizational personnel with configuration management responsibilities; organizational personnel with information security and privacy responsibilities; system/network administrators. Test: organizational processes for managing baseline configurations; automated mechanisms supporting configuration control of the baseline configuration |
| MP-07 Media Use | MP-07_ODP[01] types of system media to be restricted or prohibited from use on systems or system components are defined; MP-07_ODP[02] one of the following PARAMETER VALUES is selected to be applied on specific types of system media: {restrict; prohibit}; MP-07_ODP[03] systems or system components on which the use of specific types of system media to be restricted or prohibited are defined; MP-07_ODP[04] controls to restrict or prohibit the use of specific types of system media on systems or system components are defined; MP-07a. the use of <MP-07_ODP[01] types of system media> is <MP-07_ODP[02] SELECTED PARAMETER VALUE> on <MP-07_ODP[03] systems or system components> using <MP-07_ODP[04] controls>; MP-07b. the use of portable storage devices in organizational systems is prohibited when such devices have no identifiable owner |
| MP-07 potential methods/objects | Examine: system media protection policy; system use policy; procedures addressing media usage restrictions; rules of behavior; system design documentation; system configuration settings and associated documentation; audit records; system security plan; other relevant documents or records. Interview: organizational personnel with system media use responsibilities; organizational personnel with information security responsibilities; system/network administrators. Test: organizational processes for media use; automated mechanisms restricting or prohibiting use of system media on systems or system components |
| CA-03 Information Exchange | CA-03_ODP[01] one or more of the following PARAMETER VALUES is/are selected: {interconnection security agreements; information exchange security agreements; memoranda of understanding or agreement; service level agreements; user agreements; non-disclosure agreements; <CA-03_ODP[02] type of agreement>}; CA-03_ODP[02] the type of agreement used to approve and manage the exchange of information is defined (if selected); CA-03_ODP[03] the frequency at which to review and update agreements is defined; CA-03a. the exchange of information between system and other systems is approved and managed using <CA-03_ODP[01] SELECTED PARAMETER VALUE(S)>; CA-03b.[01] the interface characteristics are documented as part of each exchange agreement; CA-03b.[02] security requirements are documented as part of each exchange agreement; CA-03b.[03] privacy requirements are documented as part of each exchange agreement; CA-03b.[04] controls are documented as part of each exchange agreement; CA-03b.[05] responsibilities for each system are documented as part of each exchange agreement; CA-03b.[06] the impact level of the information communicated is documented as part of each exchange agreement; CA-03c. agreements are reviewed and updated <CA-03_ODP[03] frequency> |
| CA-03 potential methods/objects | Examine: access control policy; procedures addressing system connections; system and communications protection policy; system interconnection security agreements; information exchange security agreements; memoranda of understanding or agreements; service level agreements; non-disclosure agreements; system design documentation; system configuration settings and associated documentation; system security plan; privacy plan; other relevant documents or records. Interview: organizational personnel with responsibilities for developing, implementing, or approving system interconnection agreements; organizational personnel with information security and privacy responsibilities; personnel managing the system(s) to which the interconnection security agreement applies |
| AC-17(01) Remote Access | AC-17(01)[01] automated mechanisms are employed to monitor remote access methods; AC-17(01)[02] automated mechanisms are employed to control remote access methods |
| AC-17(01) potential methods/objects | Examine: access control policy; procedures addressing remote access to the system; system design documentation; system configuration settings and associated documentation; system audit records; system monitoring records; system security plan; other relevant documents or records. Interview: system/network administrators; organizational personnel with information security responsibilities; system developers. Test: automated mechanisms monitoring and controlling remote access methods |

### Chapters / appendices relevant to SOP templates and evidence

| Location | Content |
|---|---|
| Chapter Three | process for preparing, developing plans, conducting assessments, analyzing results, and assessing capabilities |
| Chapter Four | catalog of security and privacy assessment procedures that can be used to develop plans for assessing security controls |
| Appendix C | assessment method descriptions |
| Appendix D | penetration testing |
| Appendix E | assessment reports |
| Appendix F | ongoing assessment and automation |
| Chapter Two | includes format and content of assessment procedures |

### Absence notes
- POA&M or remediation records: no explicit POA&M template or POA&M field set is shown in the extracted page text; only “records of remediation actions” are explicitly mentioned.
- Escalation / exception handling: no explicit escalation workflow, exception process, severity values, or SLA values are stated on the extracted page text.
