URL: https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodi/851001p.pdf
TITLE: DoDI 8510.01, "Risk Management Framework for DoD ...
ERROR: None

| Topic | Extracted information |
| Implement step tasks | - Task I-1 Control Implementation: Controls specified in the security and privacy plans are implemented. Systems security and privacy engineering methodologies are used to implement the controls in system security and privacy plans. Primary Responsibility: SO; Common Control Provider.<br>- Task I-2 Update Control Implementation Information: Changes to the planned implementation of controls are documented. The security and privacy plans are updated based on information obtained during the implementation of the controls. Primary Responsibility: SO; Common Control Provider. |
| Assess step tasks | - Task A-1 Assessor Selection: An assessor or assessment team is selected to conduct the control assessments. The appropriate level of independence is achieved for the assessor or assessment team selected. Primary Responsibility: AO or AODR.<br>- Task A-2 Assessment Plan: Documentation needed to conduct the assessments is provided to the assessor or assessment team. Security Assessment Plans include documentation of test events and resources that can support assessments, coordinated with developers and developmental and operational testers. T&E strategy includes high-level description of assessment plans. Security, privacy, and supply chain risk management assessment activities are developed and documented. Assessments are reviewed by the security control assessor (SCA) and approved by the AO to establish the expectations for the control assessments and the level of effort required. Primary Responsibility: AO or AODR; Control Assessor.<br>- Task A-3 Control Assessments: Control assessments are conducted in accordance with the security and privacy assessment plans. Developer, engineering, developmental, and operational test events are conducted to support assessments. Opportunities to reuse assessment results from previous assessments to make the risk management process timely and cost-effective are considered. Use of automation to conduct control assessments is maximized to increase the speed, effectiveness, and efficiency of assessments. Primary Responsibility: Control Assessor.<br>- Task A-4 Assessment Reports: Assessment reports that provide findings and recommendations are completed and include results from developer, engineering, developmental, and operational test events. Assessment reports include results from developer, engineering, developmental, and operational test events. Primary Responsibility: Control Assessor.<br>- Task A-5 Remediation Actions: Remediation actions to address deficiencies in the controls implemented in the system and environment of operation are taken. Security and privacy plans are updated to reflect control implementation changes made based on the assessments and subsequent remediation actions. Primary Responsibility: SO; Common Control Provider; Control Assessor.<br>- Task A-6 A Plan of Actions and Milestones: POA&M detailing remediation plans for unacceptable risks identified in security and privacy assessment reports is developed. Primary Responsibility: SO; Common Control Provider. |
| Authorize step tasks | - Task R-1 Authorization Package: An authorization package is developed for submission to the AO. Primary Responsibility: SO; Common Control Provider; Senior Agency Official for Privacy.<br>- Task R-2 Risk Analysis and Determination: A risk determination by the AO that reflects the risk management strategy, including risk tolerance, is rendered. Primary Responsibility: AO or AODR.<br>- Task R-3 Risk Response: Risk responses for determined risks are provided. Primary Responsibility: AO or AODR.<br>- Task R-4 Authorization Decision: The authorization for the system or the common controls is approved or denied. Primary Responsibility: AO.<br>- Task R-5 Authorization Reporting: Authorization decisions, significant vulnerabilities, and risks are reported to organizational officials. Primary Responsibility: AO or AODR. |
| Security authorization documentation package | - Consists of all artifacts developed through RMF activity and is maintained throughout a system’s life-cycle.<br>- Is the minimum information necessary for the receiving organization to accept a system.<br>- Is made up of: The security plan; The security assessment report; All POA&Ms; The authorization decision document. |
| Monitor step tasks | - Task M-1 System and Environment Changes: The system and environment of operation are monitored in accordance with the continuous monitoring strategy. Primary Responsibility: PM or SO; Common Control Provider; Senior Agency ISO; Senior Agency Official for Privacy.<br>- Task M-2 Ongoing Assessments: Ongoing testing and assessments of control effectiveness are conducted in accordance with the continuous monitoring strategy. Primary Responsibility: Control Assessor.<br>- Task M-3 Ongoing Risk Response: The output of continuous monitoring activities is analyzed and responded to appropriately. Primary Responsibility: AO; PM or SO; Common Control Provider.<br>- Task M-4 Authorization Package Updates: Risk management documents are updated based on continuous monitoring activities. Primary Responsibility: PM or SO; Common Control Provider.<br>- Task M-5 Security and Privacy Reporting: A process is in place to report the security, privacy, and supply chain risk management posture to the AO and other senior leaders and executives. Primary Responsibility: PM or SO; Common Control Provider; Senior Agency ISO; Senior Agency Official for Privacy.<br>- Task M-6 Ongoing Authorization: AOs conduct ongoing authorizations using the results of continuous monitoring activities and communicate changes in risk determination and acceptance decisions. Primary Responsibility: AO.<br>- Task M-7 System Disposal: A system disposal strategy is developed and implemented, as needed. Primary Responsibility: PM or SO. |
| Acquisition integration / cadence | - The RMF is designed to complement and support the Defense Acquisition System activities, milestones, and phases.<br>- RMF activities must be initiated as early as possible in the DoD acquisition process to increase security and decrease cost.<br>- Requirements, development, procurement, and T&E processes must apply the RMF in the acquisition of DoD information technology.<br>- Risks to systems must be designated consistent with the most severe threat to any individual component or subcomponent for consideration of requirements, acquisition, and T&E.<br>- The Adaptive Acquisition Framework is defined and illustrated in DoDI 5000.02.<br>- Alignment of RMF steps to the acquisition lifecycle can be found on the RMF KS.<br>- DoDI 5000.90 establishes policy for the acquisition PM’s role and responsibilities for managing cybersecurity, including the RMF, throughout the program’s acquisition lifecycle.<br>- See DoDIs 5000.82, 5000.83, 5000.89, and 5000.90 for details on integrating RMF in acquisition functional processes. |
| Cybersecurity risk governance structure | - The DoD cybersecurity risk governance structure implements the three-level approach to cybersecurity risk management described in NIST SP 800-39.<br>- It synchronizes and integrates cybersecurity activities across all phases of the system life-cycle, spanning logical and organizational entities.<br>- Governance bodies (e.g., DoD ISRMC, DSAWG) play a critical role in cybersecurity risk acceptance for the DoD, mitigating critical vulnerabilities, integrating information sharing, and ensuring a balance between organizational and tactical cybersecurity risk.<br>- Successful cybersecurity risk governance requires cooperation across all levels, including governance bodies, organizational leadership, IOs or stewards, operational commanders, and system-level owners and operators. |
| Level 1 organization governance | - The organization described in Level 1 is the OSD or strategic level.<br>- DoD CISO directs and oversees the cybersecurity risk management of DoD information technology and directs and coordinates the DoD Cybersecurity Program, which includes establishing and maintaining the RMF.<br>- DoD CISO advises and informs the PAOs and their representatives.<br>- DoD CISO oversees the RMF TAG and the RMF KS.<br>- DoD CISO presents escalation procedures to resolve disputes among RMF processes and system development, acquisition and sustainment processes, cyberspace operations, functional operational processes, and assessments for DoD mission assurance, where necessary. |
| Risk Executive Function / DoD ISRMC / DSAWG | - Risk Executive Function consists of the DoD ISRMC supported by the DSAWG.<br>- DoD ISRMC provides strategic guidance to Levels 2 and 3, assesses Level 1 risk, and authorizes information exchanges and connections for DoD enterprise systems, cross-mission area systems, cross security domain connections, and mission partner connections.<br>- DoD ISRMC performs the Risk Executive Function as described in DoDI 8500.01 and NIST SP 800-39, and makes enterprise level risk acceptance determinations for authorized enterprise systems, satisfying the requirements of cybersecurity reciprocity. If the DoD ISRMC accepts the risk on behalf of the DoD Information Enterprise, the receiving organization may not refuse to deploy the system.<br>- DoD ISRMC identifies and manages enterprise level cybersecurity risks.<br>- DoD ISRMC oversees cybersecurity risk guidance development for DoD business and mission functions.<br>- DoD ISRMC interfaces with the Mission Assurance Coordination Board regarding cybersecurity risk, requirements, and implementation in accordance with DoDI 3020.45.<br>- DSAWG is the community forum for reviewing and resolving authorization issues related to sharing community risk.<br>- DSAWG develops and provides guidance to the AOs for system connections to the DoD Information Enterprise. AOs who disagree with DSAWG decisions may appeal to the DoD ISRMC.<br>- Reference the RMF KS for additional processes needed for environment specific requirements. |
| RMF TAG | - Provides implementation guidance for the RMF by interfacing with the DoD Component cybersecurity programs, cybersecurity communities of interest, and other entities, such as the DSAWG, to address common issues across all entities.<br>- Provides a detailed analysis and authoring support for the RMF KS.<br>- Recommends changes to security controls, security control baselines, and overlays in DoD assignment values, and associated implementation guidance and assessment procedures to the DoD CISO.<br>- Recommends changes to cybersecurity risk management processes to the DoD CISO.<br>- Advises DoD forums established to resolve RMF priorities and cross-cutting issues.<br>- Develops and manages automation requirements for DoD services that support the RMF.<br>- Develops guidance for facilitating RMF reciprocity throughout the DoD.<br>- Implements updates of reference security control documents.<br>- Coordinates with privacy counterparts to manage privacy risks throughout the RMF process when appropriate. |
| RMF KS | - Dynamic online knowledge base that supports RMF implementation, planning, and execution by functioning as the authoritative source for RMF procedures and guidance.<br>- Supports RMF practitioners by providing access to DoD security control baselines, security control descriptions, security control overlays, and implementation guidance and assessment procedures, all in accordance with CNSSI 1253, NIST SP 800-53, 800-53A, and 800-53B.<br>- Supports the RMF TAG by enabling TAG functions and activities, including maintaining membership, voting, analysis, authoring, and configuration control of RMF KS enterprise content and functionality.<br>- Serves as the authoritative source for providing direction, standards, and tools for implementing and executing the RMF.<br>- Is available to all individuals with information technology risk management responsibilities.<br>- Provides convenient access to security controls baselines, overlays, individual security controls, and security control implementation guidance and assessment procedures.<br>- Supports automated and non-automated implementation of the RMF.<br>- Provides cybersecurity accountability information.<br>- Provides reciprocity guidance.<br>- Is accessible by individuals with a DoD public key infrastructure certificate (e.g., common access card), or external certification authority certificate in conjunction with DoD sponsorship (e.g., for DoD contractors without a common access card and who work offsite).<br>- Hosts a library of tools, diagrams, process maps, documents, and other items to support and aid in RMF execution.<br>- Serves as a collaborative workspace for the RMF user community to develop, share, and post lessons learned, best practices, cybersecurity news and events, and other cybersecurity-related information resources.<br>- The RMF TAG is responsible for the functional configuration and content management of the RMF KS and provides detailed analysis and authoring support for the enterprise portion of the RMF KS content. |
| JCA CPM responsibilities | - Provide recommendations and advice regarding capability requirements for business mission functions in accordance with DoDD 7045.20.<br>- Under the direction of the DoD ISRMC, are responsible for recommending cybersecurity risk requirements for their respective JCA.<br>- Supported by the Office of the DoD CIO and Joint Staff J-6, develop and maintain cybersecurity risk guidance required by the RMF “Prepare” step for their JCA.<br>- May provide recommendations on the cybersecurity requirements for their respective portfolios to the DoD ISRMC.<br>- May develop Level 2 prepare step guidance for systems within their area of responsibility in accordance with NIST SP 800-37.<br>- Reference DoDD 7045.20, Enclosure 2, Table 1 for JCA CPM lead officials. |
| PAO responsibilities | - A PAO is appointed for each of the DoD MAs (e.g., warfighting MA, business MA, enterprise information environment MA, and DoD portion of the intelligence MA) and their representatives are DoD ISRMC members.<br>- Represents the interests of their MA, in accordance with DoDD 8115.01 and, as required, issues cybersecurity risk guidance specific to their MA, in accordance with this issuance.<br>- Resolves authorization issues within their respective MAs and works with other PAOs to resolve problems among MAs, as needed.<br>- Designates AOs for MA systems supporting MAs communities of interest specified in DoDI 8320.07 in coordination with appropriate DoD Component heads, if required.<br>- Designates information security architects or systems security engineers for MA segments or systems, as needed. |
| DoD Component CIO responsibilities | - Supported by the DoD Component CISO appointed in accordance with DoDI 8500.01, is responsible for: administering the RMF within the DoD Component cybersecurity program; participation in the RMF TAG; the visibility of, and sharing, the RMF status of assigned systems; enforcing training requirements for persons participating in the RMF.<br>- Maintains visibility of assessment and authorization status of DoD Component systems through automated assessment and authorization tools or designated repositories for their Component to the DoD CIO and PAOs.<br>- Verifies an SO and/or PM is appointed in writing for each DoD Component system.<br>- Communicates organizational risk tolerance.<br>- Establishes and maintains processes and procedures to manage DoD Component POA&Ms.<br>- Appoints a DoD Component CISO to direct and coordinate the DoD Component cybersecurity program.<br>- Reviews and documents concurrence or non-concurrence, and provides directions as merited, before ATOs are issued for DoD Component systems with a level risk of “Very High” or “High.”<br>- Develops and implements the “Prepare” step guidance for their organizational elements.<br>- Includes performance of cybersecurity functions under the RMF, (e.g., AO, SCA, ISSM) in the annual evaluation criteria. |
| DoD Component CISO responsibilities | - Has authority and responsibility for security controls assessment and establishes and manages a coordinated security assessment process for systems governed by the DoD Component cybersecurity program.<br>- Implements and enforces the RMF within the DoD Component cybersecurity program.<br>- Performs as the SCA or formally delegates the security control assessment role for governed systems.<br>- Tracks the assessment and authorization status of systems governed by the DoD Component cybersecurity program.<br>- Establishes and oversees a team of qualified cybersecurity professionals responsible for conducting security assessments.<br>- CISOs may task, organize, staff, and centralize or direct assessment activities to representatives as appropriate.<br>- Regardless of the adopted model, the CISO is responsible for assessing quality, capacity, visibility, and effectiveness of security control assessments.<br>- Identifies and recommends changes and improvements to the security assessment process, security test and evaluation, and risk assessment methodology, including procedures, risk factors, assessment approach, and analysis approach to the RMF TAG for inclusion in the RMF KS.<br>- Advises AOs on the adequacy of acquisition program implementation of cybersecurity requirements.<br>- Serves as the single cybersecurity coordination point for joint or DoD-wide programs that deploy systems to DoD Component enclaves.<br>- Verifies that DoD Component RMF guidance is posted to the DoD Component portion of the RMF KS, and is consistent with this issuance and supporting guidance.<br>- Oversees DoD Component-level participation in the RMF TAG. |
| AO responsibilities | - DoD Component heads are responsible for appointing trained and qualified AOs for all DoD systems within their Component.<br>- AOs should be appointed from senior leadership positions within the business owner and mission owner organizations.<br>- Comply with DoD ISRMC direction issued on behalf of the JCA CPMs.<br>- Initiate and complete all appropriate RMF tasks, with appropriate documentation, for assigned systems.<br>- Monitor and track the overall execution of system-level POA&Ms.<br>- Promote reciprocity as much as possible.<br>- Do not delegate authorization decisions. Other AO responsibilities and tasks may be delegated to formally appointed and qualified AODRs.<br>- Review the security authorization documentation package in light of mission and information environment indicators and determine a course of action provided to the responsible CIO or CISO for reporting requirements described in FISMA. An AO may downgrade or revoke an authorization decision at any time if risk conditions or concerns so warrant.<br>- Coordinate authorization activities and results with the system acquisition or procurement representatives.<br>- Verify the system meets cyberspace operational commander requirements. When risks are not fully mitigated, AOs inform operators of potential impacts.<br>- Verify the cyberspace and functional operational commanders have the necessary cyber risk information on the system.<br>- When a cybersecurity risk affects an operational requirement, facilitate coordination with cyberspace and functional operational commanders, and acquisition or procurement representatives.<br>- Verify that decisions incorporate the best cyber intelligence or commercial cyber threat information available.<br>- Verify that decisions are recorded, tracked, and made available to all parties throughout the system’s lifecycle. |
