URL: https://dl.dod.cyber.mil/wp-content/uploads/stigs/pdf/U_STIG_Viewer_3-x_User_Guide_V1R5.pdf
TITLE: [PDF] STIG Viewer 3.x User Guide - DoD Cyber Exchange
ERROR: None

| Area | Extracted details |
| Procedure area | Extracted details |
|---|---|
| Installing standalone STIG Viewer | 1. Download the STIG Viewer 3.x standalone ZIP file from the Cyber Exchange website. Go to SRGs/STIGs >> SRG/STIG Viewing Tools. 2. Click STIG Viewer 3.x-Win64 or STIG Viewer 3.x-Linux. 3. Click Save to save as U_STIGViewer-win32_x64-3-x-x.zip or U_STIGViewer-linux_x64-3-x-x.zip. Extract all contents of the ZIP file to the local hard disk; the standalone application does not run from within the ZIP file. |
| Installing Windows MSI package | 1. Download the STIG Viewer 3.x Windows MSI ZIP file from the Cyber Exchange website. Go to SRGs/STIGs >> SRG/STIG Viewing Tools. 2. Click STIG Viewer Version 3.x-Win64_msi. 3. Click Save to save as U_STIGViewer-win32_x64-3-x-x_msi.zip. 4. Open the downloaded ZIP file. Open the enclosed .msi file to begin the installation process. Administrative rights are required for installation. |
| Verifying integrity of packages | A file containing secure hash values for the STIG Viewer ZIP packages is published on cyber.mil. Hash values are provided for SHA256, SHA384, and SHA512. To verify, compute the hash value on the STIG Viewer package under inspection using Get-FileHash cmdlet (Windows PowerShell) or sha256sum, sha384sum, and sha512sum programs (Linux). Compare the published hash value to the computed value for the same algorithm. |
| Unblocking on Windows | STIG Viewer downloaded on Windows may be marked as downloaded from the internet and may prevent running the application. This can also apply to ZIP contents when extracted. Consult the local system administrator for guidance. If approved, unblock via File Explorer > Properties > General tab > Security section > check Unblock > OK. Alternatively, use the Unblock-File cmdlet in Windows PowerShell. |
| Linux File Access Policy | Linux systems using fapolicyd may block execution and present “Operation Not Permitted” or “cannot open shared object file” when launching STIG Viewer. Procedure: 1. sudo mkdir /opt/stigviewer 2. sudo unzip U_STIGViewer-linux_x64-3-x-x.zip -d /opt 3. sudo mv /opt/stig_viewer_3-linux-x64 /opt/stigviewer 4. sudo fapolicyd-cli --file add /opt/stigviewer 5. sudo fapolicyd-cli --update 6. Run STIG Viewer from /opt/stigviewer/STIG\ Viewer\ 3 |
| Digital signatures | Beginning with STIG Viewer version 2.15, Windows EXE and MSI files are digitally signed with a DOD code signing certificate. Information on installing DOD trust anchors is available at https://public.cyber.mil/pki-pke/. To view signatures, open file properties in Windows Explorer and select the Digital Signatures tab. |
| STIG Viewer Help | The STIG Viewer Help section can be found under the hamburger menu. It provides links to the Release Notes, Dependency List, User Guide, and Check for Updates, which is a link to Cyber Exchange to verify the latest version available. |
| Opening STIG Viewer | Windows standalone package: start by opening the STIG Viewer 3.exe file. Windows MSI package: start by opening the STIG Viewer 3 item from the Start Menu. Linux standalone package: start the standalone STIG Viewer executable from the command line (STIG Viewer 3). Other considerations: consult local system administrators for assistance in running standalone versions with application firewalls. At startup, the application opens to the Home page. |
| Theme setting | To change appearance from Default to Dark mode: select hamburger menu > Preferences > under Theme, change to Dark > click Save. |

### STIG Explorer / STIG handling

| Area | Extracted details |
|---|---|
| Open STIGs | Open STIGs from the Home screen or by selecting the STIG Viewer icon on the left side of the screen. |
| Open STIGs from Home Screen | 1. Click Open in the upper portion of the STIG Viewer section of the screen. 2. Navigate to the location of the STIG and double-click or select the STIG and then click Load. Note: user can import either .ZIP/.zip or .XML/.xml formats. |
| Open STIGs from STIG Viewer Icon | 1. Click the STIG Viewer icon on the Home page. 2. Click the Open STIG icon in the upper portion of the screen. |
| Main sections after opening STIG | SECTION 1: STIG Overview shows the STIG’s associated documents, such as Read Me, Release Memo, Overview, Revision History, etc. User can show or hide these documents via checkbox in the Gear icon. Read Me, Release Memo, Overview, and Revision History files appear only if the ZIP file has been opened. SECTION 2: Rules shows the Group ID. User can add Rule ID and/or STIG ID, or any combination of the three, by selecting the gear icon in the navigation bar. Default is Group ID for the Origin STIG. User can also choose to show or hide the Rule Title via checkbox. SECTION 3: Vulnerability detail shows more details about each vulnerability in the selected STIG or more detailed information about a selected rule/requirement. |
| Adding STIGs to the Library | 1. Click the STIG Viewer icon on the Home page or the magnifying glass icon in the upper-right portion of screen. 2. Click the Add STIG to Library icon in the upper portion of the screen. Note: if no STIGs are loaded into the library, message displays: “Your STIG library is empty! Visit public.cyber.mil to download: Individual STIGs or A Collection of all STIGs Then use: Open STIG or Add STIG to Library to view or add them to your collection”. Links go to the public version of Cyber Exchange. 3. Download the desired STIGs. 4. Click Add STIG to Library and navigate to the location of the STIGs to be imported. Note: user can select .ZIP/.zip or .XML/.xml file formats. 5. Select the file(s) and click Load. Note: user can import the Compilation file to load all the STIGs. A counter displays the import progress. 6. Once loaded, the screen updates. |
| Viewing multiple STIGs | 1. Click Open Multiple STIGs in upper-right portion of screen. 2. Checkboxes appear beside STIGs in the Library to select STIGs to view. Note: Select All selects all listed STIGs. Clear Selected unselects all checked STIGs. If more than one version of a STIG exists, an expansion arrow appears beside the STIG name; once expanded, the user can select one or multiple versions of the STIG to add to the view. 3. Search for STIGs that contain a common word by entering the search word in the search field located in the list of STIGs. 4. Once selected, click Filter icon or Open X STIGs, where X represents the number selected. |
| View Multiple STIGs – Filtered | Requirements can be filtered on Content, Title, Severity, STIG ID, Group ID, Rule ID, CCI ID, and Legacy ID. Filter options can be any combination of: contains; does not contain; is; is not; is greater than; is less than. Note: not all options available for each category; Severity provides three choices in the drop-down menu. Open X STIGs opens selected STIGs. Funnel icon at top left indicates number of filters applied and can be clicked to view the filter. Filter carried over from STIG selection to view; further filters can be added via funnel icon at top of left column. Gear icon changes left-column display: default Rule List Display shows Group ID; user can add Rule ID and/or STIG ID and change header order by unselecting all and clicking in desired order; Group By can be changed from Origin STIG to None; Rule Title can be removed by unchecking Show Rule Title. Sort ascending/descending by clicking selected ID headers. Create a checklist by selecting Create checklist from filtered rules. Export STIGs to HTML and CSV by selecting Export STIGs and choosing format and fields. Fields are divided into Header and Rule Info. All fields export unless deselected by clicking the file name to unhighlight it. After all fields selected, click Export and choose export location. |
| View Multiple STIGs – Unfiltered | Select Add STIG to Library and navigate to STIG location. Select STIGs to bring into STIG Viewer. User can also bring in the entire Compilation file and choose STIGs from the list. Click Open Multiple STIGs in top-right corner and select checkbox beside STIGs to bring in together. Click Open X STIG, where X represents the number selected. Each STIG is listed on the left pane, with respective documents first. To view all requirements together, select gear icon to change view and select None. If None selected and Show Rule Title unchecked, requirements are listed in Group ID in ascending or descending order. Add a filter to narrow down requirements; requirements that do not meet filter are listed below filtered requirements. Create a checklist of filtered requirements by clicking gear icon and selecting Create checklist from filtered rules. Export STIGs to HTML and CSV by selecting format and fields to export. All fields export unless deselected by clicking field name; fields divided into Header and Rule Info. For filtered items, Filtered Rules selections are made in the Export Type area. After fields selected, click Export and choose export location. |
| Viewing more STIGs | View another STIG or combined STIGs by selecting the + tab in the upper portion of the screen. This opens the STIG Viewer explorer main page where user can add more STIGs or open STIGs already in the list. The Recent STIGs section shows a list of recently opened STIGs. To open a recently opened STIG, click the STIG. If a STIG was opened and not saved to the library, it is displayed in Open Results; to view a STIG, click the STIG name in the Open Results section. |
| Remove STIGs | To remove a STIG not loaded in the Library, click the X to the right of the STIG name. To remove STIGs loaded in the Library, click Delete STIGs and then check the box beside the STIGs to be removed and click Delete X STIGs, where X represents the number selected. Users can Select All STIGs or Clear Selected STIGs. |
| Keyword Search | Search all STIGs listed in the user’s library that contain a certain word by entering the word in the search box at the top of the screen. A list of all Rules containing the search word appears. Click Open All in Explorer to open the STIG Explorer details screen showing all STIGs containing the search term in the main section and all individual Rules in the left pane. Scroll through listed STIGs and click a STIG to view all Rules for that STIG that contain the search term. Click a Rule in the main pane to view Rule details. |
| Comparing STIGs | The user can compare differences between two versions of a STIG. Note: load STIGs in correct order; older STIG must be loaded into the Library first, followed by newer STIG. 1. Ensure both versions are listed in the STIG Library and click Compare STIGs in upper-right portion of screen. 2. Select the older version for the Right and the newer version for the Left, then click the Compare STIGs button at the bottom of the page. Note: Benchmark Dates should be used to determine older/newer version because when a major release occurs, release number resets back to “1.” 3. Users can scroll through rules and look for Changed rules (orange-colored asterisk), Added rules (green-colored plus sign), and Removed rules (red-colored X), or apply a Diff Status filter to view only Unchanged, Changed, Added, or Removed by clicking the funnel icon. |

### Checklist structure, fields, statuses, import/export

| Area | Extracted details |
|---|---|
| Create Checklist from Home Page or Top Navigation Bar | If STIGs are loaded into the library, checklists can be created by clicking the checklist icon (three lines and a checkmark at the top of the screen) or clicking the Checklists section at the bottom of the Home page. Click Create Checklist to create a new checklist or Load Checklist to open an existing V3 checklist. Checklists created in STIG Viewer 2.x can be imported by clicking the hamburger menu and selecting Import V2 Checklist. Users can import multiple STIG Viewer 2.x checklists into STIG Viewer 3.x by navigating to a central location and selecting the desired checklists. After clicking Create Checklist, a prompt to name the checklist appears; after entering a name, click Create Checklist. User selects STIGs from the left pane; if no STIGs are loaded in the library, use the STIG Explorer button to add STIGs. If STIGs are loaded, select STIGs by clicking the + beside the STIG name. Search field can be used to find STIGs. Clicking + beside STIG name adds all rules to the main pane for inclusion in the checklist. To select individual rules, click the magnifying glass beside the STIG name and click + beside desired rules; selected rules are listed in the far-right pane. Back to Checklist Builder returns to STIG selection pane. Fill Checklist begins processing. Users can add classification to user-controlled pieces of the checklist (Comments, Finding Details, and Target Data) by opting in Preferences: Always Show Classification Options and then click Edit Classification Levels. Higher classification levels in the list take priority; if a document has both CUI and FOUO items, CUI is displayed on the banner. STIG details display combined severities and individual tabs for each severity. Target Data is on the right portion of the screen along with a graph of Rule Statuses and respective counts. Score updates as rule status updates, using rule status and weight to determine checklist score. Rule List Display can add Rule ID and STIG ID to the left pane and Group By can change from Origin STIG to None. Edit Checklist allows adding/removing STIGs. Remove a STIG by clicking the trash can icon beside the STIG name in the main pane. Add a STIG by clicking the + beside the name in the left pane. Save finishes creating the checklist. Saved checklist appears on homepage under Checklists section. |
| Create Another Checklist | To add a checklist from the STIG Checklists page, click the Add (+) tab, select Create Checklist, enter a name, then click Create Checklist. |
| Opening an Existing Checklist | Open by navigating to Home page and selecting one of the checklists listed or clicking Open and navigating to the checklist location. Another option is to click the Checklists icon on the left. Select one of the Recent Checklists or click Load Checklist and navigate to the checklist to be loaded. If a checklist is already open, click the Add (+) tab to open a new screen. |
| Changing status of rules | Mark requirements as Open, Not A Finding, Not Reviewed, or Not Applicable by clicking the circle beside the Rule. Click once to set status to Not a Finding (green checkmark), twice to Open (red exclamation mark), three times to Not Applicable (black circle with slash), four times to Not Reviewed (gray blank circle). To update multiple rules, select rules using SHIFT or CTRL, then click the desired status at the top of the center pane. Score updates as statuses change. Circle beside the ID reflects assigned status. |
| Override Severity Status | Users can override a severity status by clicking on the severity and then changing the severity to a different value. User must select the new severity, which triggers the requirement of an Override Reason. Users must provide an override reason for the severity to change. Click Save to save the severity change. An asterisk appears beside the Severity showing that it has been overridden. |
| Filtering a Checklist | Filter rules by clicking the funnel icon and applying filters. The number of filters applied is shown beside the funnel icon. Rules matching the filter are listed. Change from Group ID to Rule ID or STIG ID in the left column by selecting the gear icon. |
| Populating Target Data | Target data can be populated on the far-right side of the screen. This area also displays a graphic showing the number of rules in the STIGs included in the checklist, the progress of status changes, and the Score. If target data has a classification already set, or if “Always Show Classification Options” is enabled in preferences, the classification level of the target data can be set using the classification editor button at the top of the target data section. Hovering over the graphic displays a download symbol to obtain a copy of the graphic for presentations. |
| Adding Comments and Finding Details to a Single Rule | Add Comments and Finding Details to an individual rule by typing directly into the Comments and Finding Details boxes or copying and pasting from another document into the boxes. |
| Adding Comments and Finding Details to Multiple Rules | Multiple rules can be updated at one time. After selecting rules, click the square in the upper-right portion of the screen. From the pop-up menu, select Edit Comments or Edit Finding Details. After selection, either type or copy and paste in the box. Click Save to add the text to the selected rules. All Rules selected will have the same Comment or Finding Details text. |
| Saving a Checklist | An unsaved checklist has an asterisk beside the checklist name. In Preferences, the default is Auto-Save Checklists; uncheck to save manually. To save, click Save in the upper part of the screen or click the hamburger menu. The hamburger menu provides Save, Save As, or Save All open checklists (only shows if more than one checklist is open and unsaved), which prompts the user to save each open checklist separately. Navigate to the desired location and save each open checklist. If exiting a checklist not updated, application closes with no prompts. If updates were made, user is prompted to Close without Saving, Save and Close, or Cancel; Cancel is default. After saving, checklist can be reopened by clicking name in Recent Checklists or by Load Checklist and navigating to saved location. |
| Importing XCCDF Results into a Checklist | Click Import icon and select Import XCCDF or CMRS Results. Navigate to results file and click Load. Pop-up shows: number of results with matching Rule IDs and revision numbers ready to import; number of results with matching Rule IDs but not matching revision number; any results that did not match a Rule ID; Incoming checklist has target data. This wording only shows if checklist contains target data. Complete import with only matching revision numbers by clicking Complete Import. To bring in all results regardless of revision matches, check Include loosely matched results then click Complete Import. If any rules did not match, click Show to display unmatched rules. If file contains target data, pop-up allows include or exclude target data and view the target data being imported. Imported results show in checklist. |
| Importing Checklist Data | Click Import and then select Import Checklist Data. This brings in Status, Comments, Finding Details, and Target Data from the checklist being imported. Navigate to checklist file and click Load. Pop-up shows: number of results with matching Rule IDs and revision numbers ready to import; number of results having matching Rule IDs but that did NOT match on revision number; note to include loosely matched results via checkbox; this wording shows only if the checklist contains Rule IDs that did not match on revision number; any results that did NOT match a Rule ID; this wording shows only if the checklist contains Rule IDs that did not match on Rule ID; if some incoming Rules have Comments or Finding Details, user can select what to do with those Comments and Finding Details. Options are: Replace existing. Append to existing. Ignore incoming. Incoming checklist has target data; this wording shows only if checklist contains target data. |
| Exporting Checklist Data | Click Export icon to export checklist data. Pop-up window shows export format and fields to include. Defaults are HTML format and All fields. Possible formats are HTML, CSV, CMRS XML, CKL (SV v2 format), and CKLB. CKLB format can now be imported into eMASS. Users can exclude fields from each section by clicking the caret to display fields for each section and clicking None to exclude all the fields or clicking a field to exclude it. Any fields not highlighted will be excluded from export. |
| Resizing the Checklist Pane | To resize vertically, click the bar between the rule list and the rule details and drag left or right. To resize horizontally, click the bar between the rule details and the Comments and Finding Details and drag up or down. |

### Applicability Guide / asset collection structure

| Area | Extracted details |
|---|---|
| Accessing Applicability Guide | To access existing Applicability Guides, select the Open icon and navigate to the existing location. To create a new collection, select the New icon or click the Applicability Guide icon. |
| Menu | Hamburger menu is in the upper-left corner. It is divided into FILE, APP, and HELP. It also contains Exit. |
| File Menu | FILE section allows the user to create a new asset collection or open an existing one. |
| App Menu | Preferences menu allows the user to set preferences such as enable sunset labels, change the font size, access application logs, change the theme, set the Default App for which application to open when accessing STIG Viewer, and reset the application back to default settings. |
| Navigation Bar Menu | Navigation bar displays options to interact with the application and the created collection. When viewing a collection, buttons appear such as Save, Merge, etc. Merge button opens a file dialog and select a collection file to merge into the open collection. Save button opens a file dialog, name the collection file, and save it to disk. Export button expands into four options. |
| Right-Click Menu | Right clicking an asset provides shortcuts to add an asset, edit the asset, remove the asset, and enter Guide Mode. It also includes Add Parent and Add Parent using Guide Mode. These two features are only available if the selected asset and its current parent have matching assets. |
| Asset Tree overview | The main view under the File menu is the Asset Tree. It allows the user to view their current collection and add, edit, or remove assets. Based on selections, a pane to the right can appear to display or collect additional information about the selection. The asset the user is working with will be highlighted in green. |
| Creating a Collection | Click the Applicability Guide icon on the home page or click the icon in the navigation bar at the top. Enter a name for the collection, and then click Create. Note: to go straight to a collection without naming it, click New in the Applicability Guide section of the home page. |
| Adding Assets (Standard Mode) | 1. Click the “+” button to add the first Asset. 2. A selection pane appears to the right, and the selected asset is highlighted in green. Enter the Asset Name and select the Asset Type that applies to this asset. 3. After the Asset Type is selected, applicable labels for the asset can be selected. Select zero or more labels that apply to the asset, and then click Create to create entries in the asset tree representing that item. Use the search input to find desired labels quickly. Note: user can replace No Name by using Edit Asset. Asset Label is defined as “A descriptive tag that applies to an asset type.” |
| Adding Assets (Guide Mode) | 1. Click the compass icon (circle with a diamond) next to the “+” button to begin Guide Mode. 2. After clicking Guide Mode, a pane appears to the right prompting the user to add an asset by asking a series of questions. Answer Yes or No to each appropriate question and select End Guide when finished. 3. Select No to move to the next asset in the list. Select Yes to move to the label pane where name and the asset type label can be selected (if available). 4. After adding and creating an asset, the wizard descends into its children; the next prompt will be the first child of the asset just added. After a decision is made to add each child, the wizard returns to the top level, and other assets can be added. Notes: Select multiple labels to create multiple tree items with the different labels selected. To leave Guide Mode, click End Guide. |
| Adding Parent Assets | After an asset has been created, a new parent can be added by using the Add Parent feature. Note: Add Parent is only available if an asset type is available that allows relationships between the selected asset and its current parent. 1. Right-click the asset and select Add Parent. 2. Select the asset to add and click Create. Note: listed on the right are assets available based on the asset selected and its current parent. 3. The new parent will be added to the asset. |
| Adding Parent Assets (Guide Mode) | If an asset has been created but reverse order is desired, a parent can be added using Guide Mode by clicking the Add Parent option when selecting Guide Mode. Note: Add Parent is only available if an asset type is available that allows relationships between the selected asset and its current parent. 1. Right-click the asset and select Guide Mode >> Add Parent. 2. On the right, select Guide Mode to view available asset labels based on the asset selected and its current parent. 3. Select Yes on the Asset Type, name it, select the label to add, and then click Create. 4. The new parent will be added to the asset. 5. Click End Guide. |
| Editing Assets | 1. After creating an asset, click the pencil icon to begin editing an asset. A pane appears on the right side with the current asset information. 2. Change the name of the asset and the label if available and click Save. 3. The changes will be reflected on the tree to the left. |
| Removing Assets | To remove an asset, click X next to the tree item and click Delete. |
| Save, Open, and Merge overview | When an asset posture is built, the application allows the user to save the collection as a JSON document for import later. These options can be found under the File menu located under the hamburger menu or by using the Save icon at the top of the page. |
| Save Collection | 1. To save a collection, select the Save icon in the navigation bar or open the hamburger menu and select File >> Save. 2. A window pops up with the option to choose a save location and a file name if this is a new collection. Click Save to save the collection. |
| Open Collection | 1. To open an Asset Collection (either JSON or XML), click Load Collection to load an existing collection or select from the Recent Collections section of the main page. Note: alternatively, click the hamburger menu and select File >> Open. 2. Navigate to the saved Asset Collection document, select it, and click Load. Note: if an imported asset has been sunset or deprecated, an indicator is displayed next to the asset. A red sun indicator signifies that it is sunset. To view the names of sunset assets, select File >> Preferences and check Enable Sunset Labels. |
| Merge Collection | Merging an asset collection allows the user to import assets from an asset collection file into the currently open collection. When successful, the assets of the merged collection are appended to the end of the current collection. 6.5.4.1 Merge an Asset Collection: 1. In the Navbar, click the Merge icon. 2. Navigate to the saved Asset Collection document, select it, and click Load. |
| Drag and Drop | The SRG/STIG Applicability Guide is drag-and-drop enabled; the user can drag and drop a compatible asset into another asset. To drag and drop an asset, left-click and hold with the left mouse button and then drag it to the intended asset. When the dragged asset encounters a compatible asset, the compatible asset turns green, signaling a valid drop location. If incompatible, the asset is not moved and a message is displayed. |
| Exports overview | After building an asset collection, the user can export the requirements/policy documents using options in the Navbar menu. Exports come in two file types, HTML and text, and in two varieties, normal/flat and asset-based list. The flat list contains only the policy documents and their information; the asset-based list also contains the asset that it applies to and the path to get to that asset. |
| Preview | To access a preview of the current collection, select Documents from the asset tree. The window on the right shows a list of the Requirements/Policy Documents that apply to the current asset posture. |
| Exporting | 1. To export assets, select Export Assets as Text (or as HTML) in the Navbar. 2. In the pop-up menu, choose the location and name of the export file and click Save. |
| Scenario | A task is required to secure a system on a VMware-based cloud environment. The VM is running Windows 11 and has several applications installed, including JRE 8, Microsoft Office 2016, and .Net Framework 4.0. Securing this system requires knowing what policy documents to follow. Therefore, the SRG/STIG Applicability Guide is used to fill this need easily and quickly. Then steps are given to add a cloud service asset, a VM, Windows 11 operating system, and the applications JRE 8, Microsoft Office 2016, and .Net Framework 4.0 using Guide Mode. |

### Fields, headings, values explicitly stated

| Item | Extracted fields / values |
|---|---|
| Export STIG fields | Fields are divided into two sections: Header and Rule Info. All fields are exported unless the user deselects them by clicking the file name to unhighlight it. |
| Checklist export fields | Users can exclude fields from each section by clicking the caret to display fields for each section and clicking None to exclude all the fields or clicking a field to exclude it. Any fields not highlighted will be excluded from the export. |
| STIG viewer rule display fields | Group ID; Rule ID; STIG ID; Rule Title; Origin STIG; None |
| Filterable rule fields | Content; Title; Severity; STIG ID; Group ID; Rule ID; CCI ID; Legacy ID |
| Search restrictions | Searches may also be restricted to Content (Discussion, Check, and Fix), Rule Title, Severity, STIG ID, Group ID, Rule ID, CCI, or Legacy ID. |
| Checklist statuses | Open; Not A Finding; Not Reviewed; Not Applicable |
| Severity override | Override Reason required |
| Checklist import retained data | Status; Comments; Finding Details; Target Data |
| Checklist export formats | HTML; CSV; CMRS XML; CKL (SV v2 format); CKLB |
| Asset collection file formats | JSON; XML |
| Asset export file types | HTML; text |
| Asset export varieties | normal/flat; asset-based list |
| Asset selection fields | Asset Name; Asset Type; applicable labels; Asset Label |
| Classification-related fields/options | Always Show Classification Options; Edit Classification Levels; classification level of target data; banner color; higher classification levels take priority; CUI; FOUO; Unknown |
| Theme options | Default; Dark |
| Help links | Release Notes; Dependency List; User Guide; Check for Updates |
| Integrity algorithms | SHA256; SHA384; SHA512 |

### Frequencies, cadences, SLAs, escalation, exceptions, roles

| Requested category | Extracted details |
|---|---|
| Cadence/frequency | No recurring cadence, schedule, SLA, severity thresholds, escalation path, exception workflow, RACI, or operational ownership is explicitly stated in the page. |
| Roles/responsibilities | The page mentions “local system administrator” and “consult local system administrators” for guidance with Windows unblocking and application firewalls. No other roles or responsibilities are defined. |
| Audit evidence / artifacts | Exported STIG data can be saved as HTML and CSV. Checklist data can be exported as HTML, CSV, CMRS XML, CKL (SV v2 format), and CKLB. CKLB can be imported into eMASS. The checklist graphic can be downloaded for use in presentations. STIG packages include Read Me, Release Memo, Overview, Revision History. The Applicability Guide can export requirements/policy documents as HTML or text, in flat or asset-based list. Open Results and Recent STIGs / Recent Checklists / Recent Collections are listed views, but no audit evidence workflow is described. |
| POA&M / remediation records | No POA&M, remediation record, exception, waiver, or formal defect-tracking template is explicitly described in the page. The only related fields are rule status, severity override, comments, finding details, target data, and imported automated review results. |
| Task/ticket/playbook templates | No task ticket, playbook, or SOP template headings are explicitly provided. The closest structured templates are checklist export field sections “Header” and “Rule Info,” and asset export varieties “normal/flat” and “asset-based list.” |
| Escalation/exception handling | No escalation or exception-handling process is explicitly stated beyond prompts for save/close/cancel on unsaved checklists and use of local system administrator for unblocking/application firewall guidance. |
| SLA/severity values | No SLA values are stated. Severity-related behavior stated only: user can override severity to a different value; Severity provides three choices in the drop-down menu when filtering; severity override requires an Override Reason; an asterisk indicates overridden severity. |
